,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,22.5421073247,8.0,-6.0,5139,0.38918077447,14.0,0.0,5139
1,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,24.6791707799,14.0,-5.0,2059,1.36082474227,17.0,-2.0,2425
2,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,20.0,8.0,-9.0,647,0.618238021638,16.0,1.0,647
3,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,24.9554367201,6.0,-5.0,40576,1.42759094029,21.0,-1.0,43710
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,28.0073461892,7.0,-4.0,1104,1.53985507246,13.0,1.0,1104
5,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,27.9806194843,9.0,-4.0,5860,0.666894664843,16.0,-1.0,5848
6,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,14.9773071104,6.0,-10.0,1359,2.57542310522,17.0,-4.0,1359
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,25.7142857143,7.0,-4.0,4658,0.965665236052,15.0,2.0,4660
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,25.2747252747,4.0,-7.0,734,0.544959128065,14.0,1.0,734
9,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,24.8151571165,8.0,-4.0,2180,0.413033501606,16.0,1.0,2179
10,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,26.3858093126,10.0,-3.0,17010,1.59738166186,14.0,0.0,20471
11,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,31.440077767,8.0,-1.0,7362,1.81196147998,17.0,-1.0,7892
12,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,22.3427383711,5.0,-5.0,42435,1.05651441322,16.0,-2.0,43918
13,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,25.9656652361,8.0,-5.0,1410,1.13394755493,13.0,-4.0,1411
14,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,21.1853162318,6.0,-8.0,2299,1.65361183638,16.0,-6.0,2298
15,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,34.6299810247,6.0,1.0,6493,1.89814814815,20.0,1.0,6480
16,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,27.4672644826,5.0,-3.0,19942,1.32417851888,14.0,0.0,22429
17,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,19.7974860335,5.0,-7.0,2911,1.85503263483,13.0,-5.0,2911
18,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,18.7624750499,3.0,-8.0,10236,2.0090548953,14.0,-4.0,10602
19,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,26.9637883008,4.0,-3.0,1807,0.830105146652,13.0,2.0,1807
20,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,17.9245283019,5.0,-8.0,2062,2.37518177412,13.0,-4.0,2063
21,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,18.3766233766,4.0,-11.0,1561,0.512820512821,16.0,-1.0,1560
22,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,24.9129989765,5.0,-5.0,4967,1.25022010917,12.0,-3.0,5679
23,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,22.1914008322,4.0,-3.0,1459,0.616860863605,13.0,-2.0,1459
24,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,24.3055555556,5.0,-8.0,732,1.22950819672,12.0,5.0,732
25,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,22.232103157,5.0,-5.0,2271,0.87989441267,12.0,0.0,2273
26,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,18.6440677966,6.0,-10.0,713,0.70126227209,12.0,-2.0,713
27,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,20.1117318436,5.0,-6.0,1632,0.850546780073,11.0,-2.0,1646
28,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,18.5822436339,4.0,-12.0,1463,0.82023239918,11.0,-3.0,1463
29,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,18.1067125645,5.0,-6.0,2954,1.72647257955,13.0,-2.0,2954
30,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,27.2407732865,3.0,-4.0,584,1.02739726027,11.0,3.0,584
31,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,21.969006381,5.0,-3.0,1113,0.897666068223,11.0,-1.0,1114
