,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,17.4740075614,8.0,-4.0,42822,0.807977021694,14.0,0.0,42823
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,29.3500895927,9.0,3.0,42117,1.88759883183,11.0,4.0,42117
2,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,15.9211300765,7.0,-6.0,65717,1.40448583341,12.0,0.0,65718
3,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,29.7413793103,6.0,1.0,16374,3.57884450959,13.0,0.0,16374
4,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,24.5192307692,7.0,0.0,2327,1.50472914875,14.0,0.0,2326
5,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,16.7603345408,6.0,-4.0,75855,0.858182393419,12.0,0.0,75858
6,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,19.0912747628,6.0,-2.0,60377,0.720377577213,10.0,0.0,60385
7,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,22.8594686598,7.0,-1.0,13593,0.551754579563,16.0,1.0,13593
8,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,15.8922541295,8.0,-6.0,38829,1.16195525605,11.0,-1.0,40363
9,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,25.2737850787,8.0,-3.0,5993,2.48498999333,16.0,-1.0,5996
10,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,20.8425720621,5.0,-3.0,8672,1.1302041287,11.0,-1.0,8671
11,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,21.2378440745,8.0,-2.0,12284,1.03394936091,17.0,-1.0,12283
12,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,18.3371625503,8.0,-3.0,7054,1.23334278424,12.0,-1.0,7054
13,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,19.0010357924,6.0,-4.0,8825,1.39376770538,13.0,-1.0,8825
14,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,25.2500454628,7.0,-2.0,11272,2.05837991305,20.0,0.0,11271
15,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,18.2507690676,5.0,-5.0,19126,1.16873260815,13.0,-1.0,19765
16,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,14.3033650701,5.0,-6.0,70251,1.79210964158,12.0,-1.0,70922
17,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,16.9896261499,5.0,-4.0,15663,2.00485250926,14.0,-2.0,15662
18,IL,MDW,P,L,10830850,Chicago Midway International Airport,Chicago,United States,41.7859992981,-87.7524032593,620.0,-6,14.6950951147,6.0,-6.0,83616,1.82844432752,11.0,0.0,83623
19,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,21.5568862275,4.0,-1.0,9765,0.552938767151,11.0,0.0,9766
20,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,15.7651410079,6.0,-6.0,2206,1.72257479601,13.0,-2.0,2206
21,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,17.8575636192,4.0,-3.0,34480,1.42981438515,11.0,0.0,34480
22,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,16.2245666918,5.0,-6.0,26806,0.800381833535,10.0,-1.0,27237
23,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,18.5977859779,4.0,-3.0,13682,0.906366493677,10.0,0.0,13681
24,TX,DAL,P,M,7040950,Dallas Love Field,Dallas,United States,32.8470993042,-96.8517990112,487.0,-6,17.3720576945,5.0,-4.0,62221,1.03661084504,10.0,0.0,62222
25,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,16.9366103005,4.0,-4.0,33965,0.792085038721,9.0,0.0,33961
26,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,18.1568754035,5.0,-4.0,50437,1.22679963592,10.0,0.0,50538
27,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,18.5081240768,5.0,-3.0,20496,0.707455113193,10.0,0.0,20496
28,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,16.1290322581,6.0,-5.0,30970,1.078637171,10.0,-1.0,30965
29,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,19.6419195632,6.0,-2.0,38622,1.24550091924,10.0,1.0,38619
30,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,16.893660204,4.0,-4.0,18903,0.782903089293,9.0,-1.0,18904
31,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,17.2241012151,5.0,-5.0,24244,0.977722772277,10.0,-1.0,24240
32,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,18.7151394422,4.0,-3.0,10213,1.54704788015,9.0,-1.0,10213
33,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,15.0066927768,4.0,-3.0,20364,1.00176782557,9.0,0.0,20364
34,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,19.0283229919,4.0,-2.0,23997,1.2710451742,9.0,0.0,23996
