,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,19.333276927,8.0,-5.0,11931,0.880060346995,16.0,-3.0,11931
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,23.2731266781,11.0,-5.0,41329,0.69195780509,19.0,-1.0,41332
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,20.7903355881,13.0,-6.0,61658,1.20829838033,15.0,-1.0,61988
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,17.4311059405,11.0,-6.0,139613,1.01490711502,15.0,-2.0,140604
4,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,24.3472772135,9.0,-5.0,17782,1.67828418231,22.0,-2.0,18650
5,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,22.3900832849,8.0,-3.0,10489,1.46820478597,14.0,-3.0,10489
6,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,28.8480697385,5.0,-1.0,16212,0.875624344823,17.0,-3.0,16217
7,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,13.7418477388,9.0,-6.0,94752,1.05482376217,18.0,-2.0,96035
8,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,20.1706951593,7.0,-4.0,15504,0.844997742372,16.0,-3.0,15503
9,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,15.3423572363,6.0,-5.0,58712,0.502504002998,16.0,-3.0,58706
10,FL,MIA,P,L,20986349,Miami International Airport,Miami,United States,25.7931995392,-80.2906036377,8.0,-5,22.096416242,8.0,-4.0,49427,1.12638023193,17.0,-1.0,54067
11,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,20.8677948848,8.0,-5.0,7990,1.55174571393,14.0,-5.0,7991
12,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,24.765063571,9.0,-2.0,9142,0.940713191862,17.0,-2.0,9142
13,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,22.921874169,9.0,-2.0,19065,1.29011957206,15.0,-3.0,19068
14,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,29.2091217855,7.0,0.0,8431,2.06381212193,17.0,-3.0,8431
15,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,22.0779220779,5.0,-3.5,8730,1.36342804766,15.0,-3.0,8728
16,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,20.5592881787,6.0,-5.0,28046,1.91848233071,18.0,-4.0,28043
17,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,20.3974562798,9.0,-4.0,6365,1.22545168892,15.0,-3.0,6365
18,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,17.0303001744,5.0,-7.0,43059,1.08399251797,19.0,-3.0,44373
19,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,25.5200945626,6.0,-3.0,26281,3.08172272105,22.0,-3.0,26284
20,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,19.6743388834,4.0,-5.0,8272,1.23247945868,14.0,-3.0,8276
21,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,20.4189403274,6.0,-3.0,5754,1.38961264548,15.0,-3.0,5757
22,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,20.9491695663,6.0,-3.0,28709,2.65431238679,19.0,-3.0,28708
23,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,19.8457700159,6.0,-4.0,4437,0.788999098287,15.0,-3.0,4436
24,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,24.0321962438,6.0,-1.0,2661,1.8045112782,15.0,-2.0,2660
25,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,19.4132402661,3.0,-4.0,9242,0.854608394634,17.0,-4.0,9244
26,HI,HNL,P,L,9479094,Honolulu International Airport,Honolulu,United States,21.3187007904,-157.92199707,13.0,-10,27.1102284012,5.0,-3.0,3037,0.724399078038,19.0,-5.0,3037
27,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,20.8013851101,4.0,-3.0,12249,0.947016082946,12.0,-4.0,12249
28,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,21.8867924528,4.0,-3.0,4013,0.847457627119,13.0,-3.0,4012
29,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,20.172201722,4.0,-6.0,8233,1.26290224651,12.0,-4.0,8235
30,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,17.7777777778,5.0,-6.0,90,0.0,14.0,-3.0,90
31,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,19.4164226055,5.0,-5.0,9324,1.09418579704,12.0,-4.0,9322
32,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,18.8116895684,6.0,-4.0,5244,1.44955178333,14.0,-3.0,5243
33,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,16.9099756691,5.0,-3.0,823,0.607533414338,12.0,-6.0,823
34,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,19.9855699856,4.0,-5.0,5601,0.999642984648,12.0,-4.0,5602
35,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,17.9580516554,7.0,-6.0,5861,1.65500767787,15.0,-5.0,5861
36,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,20.826446281,4.0,-4.0,8597,1.54723127036,14.0,-3.0,8596
37,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,15.878767913,5.0,-4.0,6133,0.586605833469,14.0,-3.0,6137
38,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,18.9503680836,4.0,-3.0,4229,0.520217545519,14.0,-3.0,4229
39,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,20.9943328181,6.0,-1.0,3901,0.615542446781,12.0,-3.0,3899
40,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,18.4294530751,4.0,-5.0,4752,0.946173254836,12.0,-4.0,4756
41,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,18.8845941469,4.0,-6.0,5503,1.32654915501,12.0,-5.0,5503
42,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,17.0133111481,7.0,-5.0,2424,0.990099009901,12.0,-4.0,2424
43,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,16.7998579293,5.0,-5.0,5676,0.828047921071,12.0,-5.0,5676
44,IN,IND,P,M,3889567,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,-5,17.8217821782,6.0,-7.0,4084,1.00342633382,13.0,-5.0,4086
45,OH,CMH,P,M,3312496,Port Columbus International Airport,Columbus,United States,39.9980010986,-82.8918991089,815.0,-5,18.5097106619,5.0,-5.0,2543,1.02201257862,13.0,-4.0,2544
46,WI,MKE,P,M,3229897,General Mitchell International Airport,Milwaukee,United States,42.9472007751,-87.8965988159,723.0,-6,18.4971098266,4.0,-6.0,1747,1.14416475973,12.0,-4.0,1748
47,HI,OGG,P,M,3220753,Kahului Airport,Kahului,United States,20.8985996246,-156.429992676,54.0,-10,28.2640586797,5.0,-1.0,2063,1.01793504605,12.0,-5.0,2063
48,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,19.6772841576,5.0,-5.0,4831,1.30380794702,12.0,-4.0,4832
49,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,19.3495490571,5.0,-4.0,3688,0.949538795442,13.0,-3.0,3686
50,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,17.6669484362,5.0,-6.0,3608,1.8554417059,13.0,-4.0,3611
51,AK,ANC,P,M,2525893,Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003296,-149.996002197,152.0,-9,19.6347031963,4.0,-7.0,443,1.12612612613,12.0,-2.0,444
52,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,13.6996904025,3.0,-7.0,1300,0.999231360492,11.0,-4.0,1301
53,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,24.0632318501,5.0,-4.0,1727,1.21668597914,12.0,-4.0,1726
54,CA,ONT,P,M,2089801,Ontario International Airport,Ontario,United States,34.0559997559,-117.600997925,944.0,-8,19.2337164751,6.0,-4.0,2631,0.988593155894,12.0,-3.0,2630
55,NE,OMA,P,M,2046179,Eppley Airfield,Omaha,United States,41.3031997681,-95.8940963745,984.0,-6,16.3851351351,5.0,-6.0,1795,1.0596765198,13.0,-6.0,1793
56,TN,MEM,P,S,1873716,Memphis International Airport,Memphis,United States,35.0424003601,-89.9766998291,341.0,-6,19.556714472,5.0,-6.0,2331,1.37398024903,16.0,-4.0,2329
57,OK,OKC,P,S,1803188,Will Rogers World Airport,Oklahoma City,United States,35.3931007385,-97.6007003784,1295.0,-6,20.4211869815,5.0,-5.0,1582,0.885515496521,13.0,-5.0,1581
58,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,16.8176670442,4.0,-5.0,1785,1.17647058824,12.5,-5.0,1785
59,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,20.8012950223,5.0,-3.0,2509,1.474691112,16.0,-3.0,2509
60,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,11.9281045752,7.0,-5.0,622,1.6077170418,16.0,-4.0,622
61,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,19.55654102,5.0,-4.0,2273,0.87989441267,12.0,-4.0,2273
62,KY,SDF,P,S,1640297,Louisville International Standiford Field,Louisville,United States,38.1744,-85.736,501.0,-5,21.4501510574,7.0,-1.0,331,0.0,12.0,1.0,331
63,AZ,TUS,P,S,1549253,Tucson International Airport,Tucson,United States,32.1161003113,-110.941001892,2643.0,-7,23.8553417386,5.0,-3.0,3059,1.60235448005,12.0,-4.0,3058
64,WA,GEG,P,S,1515351,Spokane International Airport,Spokane,United States,47.6198997498,-117.533996582,2376.0,-8,13.8671875,4.0,-6.0,514,0.389105058366,12.0,-7.0,514
65,VA,ORF,P,S,1515200,Norfolk International Airport,Norfolk,United States,36.8945999146,-76.2012023926,26.0,-5,18.5969556585,4.0,-5.0,1533,1.36897001304,14.0,-4.0,1534
66,HI,LIH,P,S,1491688,Lihue Airport,Lihue,United States,21.9759998322,-159.339004517,153.0,-10,19.0782422294,5.0,-5.0,937,0.747065101387,12.0,-8.0,937
67,ID,BOI,P,S,1487777,Boise Air Terminal/Gowen field,Boise,United States,43.56439972,-116.2229996,2871.0,-7,13.3817427386,4.0,-6.0,971,1.44329896907,12.0,-4.0,970
68,HI,KOA,P,S,1485777,Kona International At Keahole Airport,Kona,United States,19.7388000488,-156.046005249,47.0,-10,23.0140186916,3.0,-5.0,857,0.350058343057,12.0,-5.0,857
69,TX,ELP,P,S,1381392,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984,3959.0,-7,22.6647356988,4.0,-3.0,1388,0.576368876081,13.0,-4.0,1388
70,OK,TUL,P,S,1359582,Tulsa International Airport,Tulsa,United States,36.1983985901,-95.8880996704,677.0,-6,22.2939612609,4.0,-5.0,2657,0.828313253012,14.0,-4.0,2656
71,AL,BHM,P,S,1325897,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,650.0,-6,0.0,3.5,-1.5,2,0.0,25.5,0.0,2
72,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,14.5708582834,3.0,-7.0,1014,1.18343195266,12.0,-4.0,1014
73,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,14.2002989537,5.0,-8.0,678,1.91740412979,11.0,-4.0,678
74,IA,DSM,P,S,1156462,Des Moines International Airport,Des Moines,United States,41.5340003967,-93.6631011963,958.0,-6,16.0176340926,5.0,-7.0,1370,1.16788321168,12.0,-6.0,1370
75,OH,DAY,P,S,1041759,James M Cox Dayton International Airport,Dayton,United States,39.9024009705,-84.2193984985,1009.0,-5,21.1446740859,5.0,-8.0,636,1.10062893082,13.0,-5.0,636
76,NY,SYR,P,S,987732,Syracuse Hancock International Airport,Syracuse,United States,43.1111984253,-76.106300354,421.0,-5,19.6923076923,4.0,-4.0,653,0.918836140888,11.0,-5.0,653
77,GA,SAV,P,S,980531,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,50.0,-5,25.0,5.5,6.0,12,0.0,13.0,0.0,12
78,CA,PSP,P,S,947728,Palm Springs International Airport,Palm Springs,United States,33.82970047,-116.507003784,477.0,-8,18.799646955,6.0,-4.0,1152,1.12749349523,13.0,-2.0,1153
79,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,18.0527383367,3.0,-6.0,497,1.81086519115,14.0,-3.0,497
