,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,11.227154047,7.0,-9.0,768,0.260078023407,15.0,-3.0,769
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,15.0051387461,12.0,-3.0,8790,0.261631213741,19.0,-5.0,8791
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,13.7673956262,12.0,-7.0,2024,0.54347826087,17.0,-5.0,2024
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,10.4005621926,8.0,-6.0,1437,0.487125956855,16.0,-4.0,1437
4,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,6.09418282548,7.0,-14.0,366,0.819672131148,25.0,-5.0,366
5,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,13.458056729,7.0,-3.0,1672,0.598086124402,14.0,-5.0,1672
6,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,21.2712170459,7.0,-5.0,5590,1.09103917009,16.0,-4.0,5591
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,11.377245509,7.0,-4.0,4524,0.441988950276,15.0,-7.0,4525
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,10.0570032573,6.0,-5.0,2465,0.202839756592,12.0,-7.0,2465
9,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,10.989010989,7.0,-10.0,551,0.362976406534,16.0,-3.0,551
10,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,12.6768564378,7.0,-6.0,56657,0.216336006754,16.0,-3.0,56856
11,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,12.5925925926,6.0,-6.0,814,0.492004920049,15.0,-5.0,813
12,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,20.8845208845,7.0,-1.5,820,0.731707317073,19.0,-5.0,820
13,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,11.6580310881,5.0,-6.0,775,0.386597938144,17.0,-4.0,776
14,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,11.8372379778,6.0,-10.0,1630,0.306748466258,21.0,-4.0,1630
15,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,15.0588235294,7.0,-3.0,426,0.234741784038,15.0,-3.0,426
16,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,14.6408839779,6.0,-9.0,366,0.819672131148,17.0,-5.0,366
