,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,25.3538892782,9.0,-3.0,7267,1.71986791414,13.0,-2.0,7268
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,26.4966103642,9.0,-1.0,8838,1.45977141564,12.0,-2.0,8837
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,24.5206275421,13.0,-5.0,10596,2.43465131641,15.0,-1.0,10597
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,25.7268112598,9.0,-3.0,8867,1.49909828674,15.0,-2.0,8872
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,21.9489772466,9.0,-4.0,4441,2.02702702703,12.0,-2.0,4440
5,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,22.9657726,7.0,-4.0,11282,1.60446768903,13.0,-3.0,11281
6,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,24.1935483871,7.0,-4.0,1330,2.93233082707,11.0,-5.0,1330
7,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,24.4218156714,9.0,-4.0,5909,1.79417738659,13.0,-2.0,5908
8,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,21.1840888067,9.0,-2.0,1089,1.19485294118,15.0,-1.0,1088
9,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,21.2449474535,9.0,-4.0,6299,1.79086356048,14.0,-4.0,6589
