,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,17.3076923077,8.0,-10.0,5570,1.11350574713,15.0,-1.0,5568
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,23.6521431102,12.0,-4.0,28516,0.785661674441,15.0,0.0,28511
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,16.6267632042,11.0,-9.0,70255,0.890195136426,18.0,0.0,70771
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,18.4216216216,9.0,-10.0,4677,1.15656457486,16.0,-3.0,4669
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,11.7898216376,7.0,-12.0,59041,1.15690160408,13.0,-2.0,59037
5,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,21.3231418028,7.0,-8.0,53640,0.675259751161,18.0,0.0,53609
6,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,14.906219151,7.0,-11.0,1027,1.65692007797,15.0,-1.0,1026
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,15.5919070168,7.0,-10.0,11711,0.776781903542,15.0,-3.0,11715
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,17.984962406,6.0,-9.0,6708,0.820895522388,11.0,-2.0,6700
9,FL,MIA,P,L,20986349,Miami International Airport,Miami,United States,25.7931995392,-80.2906036377,8.0,-5,20.6575342466,5.0,-8.0,3708,1.32253711201,14.0,-2.0,3705
10,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,13.4198665946,7.0,-11.0,56241,0.830035372815,15.0,0.0,57106
11,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,18.3322791482,8.0,-8.0,9550,0.649214659686,15.0,-2.0,9550
12,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,17.7391013304,8.0,-9.0,12115,1.27982825531,13.0,-2.0,12111
13,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,19.9975301527,9.0,-9.0,49454,1.25640925281,18.0,1.0,51098
14,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,17.1738009283,5.0,-10.0,3913,0.972613258254,15.0,-2.0,3907
15,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,19.4861501405,6.0,-8.0,12584,1.05664574561,15.0,0.0,12587
16,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,15.3333333333,7.0,-11.0,1668,1.20192307692,14.0,-3.0,1664
17,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,19.8938321537,6.0,-9.0,4010,1.27277264787,15.0,-2.0,4007
18,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,27.6436711187,5.0,-7.0,8348,1.62991371045,19.0,-1.0,8344
19,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,18.5004686036,4.0,-9.0,5408,1.42329020333,14.0,-4.0,5410
20,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,17.8343949045,5.0,-9.0,3026,1.71957671958,11.0,-3.0,3024
21,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,19.8056455345,4.0,-8.0,4406,1.54299977309,14.0,-2.0,4407
22,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,17.6604202158,5.0,-8.0,1773,0.789177001127,12.0,-1.0,1774
23,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,12.692102584,6.0,-11.0,20951,1.38259610444,14.0,-2.0,21409
24,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,14.8530948786,4.0,-10.0,8676,0.749711649366,15.0,-2.0,8670
25,HI,HNL,P,L,9479094,Honolulu International Airport,Honolulu,United States,21.3187007904,-157.92199707,13.0,-10,22.7455716586,6.0,-4.0,5004,0.893854748603,17.0,0.0,5370
26,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,16.9530355097,5.0,-9.0,6172,1.05297262271,12.0,-4.0,6173
27,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,16.3801337154,4.0,-9.0,6325,0.553447185326,11.0,-3.0,6324
28,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,16.9465648855,4.0,-8.0,657,0.913242009132,12.0,-1.0,657
29,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,16.7005190702,5.0,-10.0,4475,0.782647584973,12.0,-2.0,4472
30,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,17.5667993178,7.0,-10.0,1774,0.564015792442,13.0,-1.0,1773
31,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,17.0817120623,4.0,-10.0,5177,0.714975845411,10.0,-3.0,5175
32,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,19.749835418,6.0,-9.0,1541,1.36452241715,13.0,-5.0,1539
33,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,18.0676328502,4.0,-10.0,3135,1.14869176771,13.0,-2.0,3134
34,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,13.1517228937,5.0,-11.0,5608,0.98056694598,11.0,-3.0,5609
35,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,10.5462822458,4.0,-12.0,1325,0.529100529101,11.0,-6.0,1323
36,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,17.0486529956,5.0,-8.0,2502,0.680272108844,11.0,-4.0,2499
37,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,17.1578522406,5.0,-11.0,2498,1.12089671737,12.0,-5.0,2498
38,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,17.6451402479,3.0,-9.0,3090,0.74481865285,11.0,-4.0,3088
39,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,16.1470535232,6.0,-11.0,5600,0.93738945879,11.0,-3.0,5654
40,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,15.4805194805,5.0,-8.0,1943,1.28865979381,11.0,-3.0,1940
41,IN,IND,P,M,3889567,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,-5,21.0486322188,6.0,-7.0,1323,0.754716981132,12.0,-3.0,1325
42,OH,CMH,P,M,3312496,Port Columbus International Airport,Columbus,United States,39.9980010986,-82.8918991089,815.0,-5,18.6932849365,6.0,-7.0,1117,1.87835420394,13.0,-2.0,1118
43,WI,MKE,P,M,3229897,General Mitchell International Airport,Milwaukee,United States,42.9472007751,-87.8965988159,723.0,-6,9.85915492958,4.0,-16.5,285,0.706713780919,13.0,-2.0,283
44,HI,OGG,P,M,3220753,Kahului Airport,Kahului,United States,20.8985996246,-156.429992676,54.0,-10,20.0402414487,6.0,-6.0,2509,1.19569549621,10.0,-2.0,2509
45,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,20.4910292729,5.0,-9.0,2156,1.99350950394,12.0,-3.0,2157
46,KY,CVG,P,M,3054991,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,39.0488014221,-84.6678009033,896.0,-5,11.7283950617,5.0,-20.5,164,1.82926829268,12.0,-4.0,164
47,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,15.78125,5.0,-10.0,1287,0.622083981337,12.0,-5.0,1286
48,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,20.5223880597,5.0,-9.5,269,0.373134328358,11.0,-3.0,268
49,AK,ANC,P,M,2525893,Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003296,-149.996002197,152.0,-9,20.6465067779,4.0,-9.0,966,0.621761658031,12.0,0.0,965
50,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,19.0569744597,4.0,-9.0,510,0.78431372549,12.0,-3.0,510
51,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,15.5056179775,5.0,-11.0,906,1.4348785872,11.0,-5.0,906
52,CA,ONT,P,M,2089801,Ontario International Airport,Ontario,United States,34.0559997559,-117.600997925,944.0,-8,9.35960591133,4.0,-17.0,204,0.49504950495,13.0,-2.0,202
53,NE,OMA,P,M,2046179,Eppley Airfield,Omaha,United States,41.3031997681,-95.8940963745,984.0,-6,16.8586387435,4.0,-10.0,1933,1.60372478013,12.0,-5.0,1933
54,TN,MEM,P,S,1873716,Memphis International Airport,Memphis,United States,35.0424003601,-89.9766998291,341.0,-6,16.059602649,5.0,-14.0,611,0.980392156863,13.0,-3.0,612
55,OK,OKC,P,S,1803188,Will Rogers World Airport,Oklahoma City,United States,35.3931007385,-97.6007003784,1295.0,-6,12.6297577855,5.0,-13.0,587,1.36054421769,12.0,-5.0,588
56,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,28.1818181818,4.0,-7.0,223,0.896860986547,12.0,-5.0,223
57,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,24.5733788396,6.0,-6.0,296,0.675675675676,12.0,-2.0,296
58,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,19.3798449612,5.0,-6.0,259,1.5444015444,11.0,-2.0,259
59,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,16.0458452722,5.0,-6.0,1060,1.32075471698,12.0,-5.0,1060
60,KY,SDF,P,S,1640297,Louisville International Standiford Field,Louisville,United States,38.1744,-85.736,501.0,-5,0.0,6.0,-18.0,9,0.0,20.0,-2.0,11
61,AZ,TUS,P,S,1549253,Tucson International Airport,Tucson,United States,32.1161003113,-110.941001892,2643.0,-7,7.79816513761,4.0,-16.0,221,1.35746606335,12.0,-2.0,221
62,WA,GEG,P,S,1515351,Spokane International Airport,Spokane,United States,47.6198997498,-117.533996582,2376.0,-8,14.4756277696,4.0,-9.0,682,0.733137829912,11.0,-5.0,682
63,VA,ORF,P,S,1515200,Norfolk International Airport,Norfolk,United States,36.8945999146,-76.2012023926,26.0,-5,25.5474452555,4.0,-7.0,422,1.89125295508,12.0,-2.0,423
64,HI,LIH,P,S,1491688,Lihue Airport,Lihue,United States,21.9759998322,-159.339004517,153.0,-10,19.3001060445,6.0,-7.0,947,1.68954593453,10.0,-5.0,947
65,ID,BOI,P,S,1487777,Boise Air Terminal/Gowen field,Boise,United States,43.56439972,-116.2229996,2871.0,-7,15.873015873,3.0,-9.0,634,1.261829653,11.0,-5.0,634
66,HI,KOA,P,S,1485777,Kona International At Keahole Airport,Kona,United States,19.7388000488,-156.046005249,47.0,-10,16.0885608856,4.0,-8.0,1359,0.588668138337,11.0,-2.0,1359
67,OK,TUL,P,S,1359582,Tulsa International Airport,Tulsa,United States,36.1983985901,-95.8880996704,677.0,-6,12.6559714795,4.0,-12.0,567,0.881834215168,11.0,-5.0,567
68,MI,GRR,P,S,1280803,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663,794.0,-5,18.9944134078,4.0,-9.0,363,1.37741046832,15.0,-4.0,363
69,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,21.4814814815,5.0,-6.0,815,1.34803921569,11.0,-1.0,816
70,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,24.1830065359,6.0,-5.0,621,1.61030595813,14.0,-2.0,621
71,IA,DSM,P,S,1156462,Des Moines International Airport,Des Moines,United States,41.5340003967,-93.6631011963,958.0,-6,16.2855162855,5.0,-11.0,1458,0.960219478738,12.0,-4.0,1458
72,GA,SAV,P,S,980531,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,50.0,-5,8.69565217391,5.0,-13.0,48,0.0,14.0,11.0,48
73,CA,PSP,P,S,947728,Palm Springs International Airport,Palm Springs,United States,33.82970047,-116.507003784,477.0,-8,14.1768292683,4.0,-11.0,667,1.64917541229,12.0,-2.0,667
74,SC,MYR,P,S,899859,Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502,25.0,-5,13.3333333333,4.0,-12.0,46,4.34782608696,11.0,-1.0,46
75,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,22.972972973,3.0,-4.5,74,2.7027027027,13.0,-1.0,74
76,WI,MSN,P,S,826640,Dane County Regional Truax Field,Madison,United States,43.1399002075,-89.3375015259,887.0,-6,20.9476309227,4.0,-12.0,812,1.35467980296,11.0,-4.0,812
77,KS,ICT,P,S,773550,Wichita Mid Continent Airport,Wichita,United States,37.6498985291,-97.4330978394,1333.0,-6,15.2941176471,4.5,-13.0,772,0.778210116732,12.0,-5.0,771
78,HI,ITO,P,S,627171,Hilo International Airport,Hilo,United States,19.7213993073,-155.04800415,38.0,-10,14.8014440433,6.0,-7.0,278,1.07913669065,12.0,-4.0,278
79,FL,SRQ,P,S,607449,Sarasota Bradenton International Airport,Sarasota,United States,27.3953990936,-82.554397583,30.0,-5,17.1339563863,4.0,-10.0,323,0.934579439252,12.0,-4.0,321
80,PA,MDT,P,S,587049,Harrisburg International Airport,Harrisburg,United States,40.1935005188,-76.7633972168,310.0,-5,25.8461538462,4.0,-3.0,327,0.611620795107,12.0,1.0,327
81,VT,BTV,P,S,581143,Burlington International Airport,Burlington,United States,44.4719009399,-73.1532974243,335.0,-5,22.3495702006,4.0,-7.0,351,0.854700854701,12.0,-3.0,351
82,MT,BZN,P,S,512042,Gallatin Field,Bozeman,United States,45.77750015,-111.1529999,4473.0,-7,15.6593406593,5.0,-11.0,1103,1.1786038078,11.0,-4.0,1103
83,SD,FSD,P,S,493530,Joe Foss Field Airport,Sioux Falls,United States,43.5820007324,-96.741897583,1429.0,-6,13.8888888889,4.0,-15.0,367,1.36239782016,13.0,-5.0,367
