,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,14.1064871481,8.0,-8.0,3284,0.517976843388,16.0,-4.0,3282
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,17.0096163789,11.0,-9.0,9719,0.360082304527,20.0,-2.0,9720
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,16.4936181469,13.0,-7.0,15190,0.340603916945,15.0,-1.0,15267
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,12.951443144,12.0,-8.0,34053,0.21346901775,16.0,-2.0,34197
4,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,19.393494742,9.0,-7.0,4109,0.307255967856,21.0,-2.0,4231
5,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,14.4651539708,8.0,-7.0,2474,0.323362974939,14.0,-4.0,2474
6,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,24.8686514886,5.0,-3.0,4014,0.373505976096,17.0,-3.0,4016
7,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,10.1924296892,8.0,-8.0,23800,0.396213037494,18.0,-3.0,23977
8,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,15.0417827298,7.0,-5.0,3608,0.249445676275,15.0,-3.0,3608
9,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,14.9447344182,7.0,-5.0,13106,0.175545718211,16.0,-3.0,13102
10,FL,MIA,P,L,20986349,Miami International Airport,Miami,United States,25.7931995392,-80.2906036377,8.0,-5,15.1566243677,8.0,-7.0,11467,1.59314706589,17.0,-2.0,12491
11,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,13.5012594458,8.0,-8.0,1998,0.750750750751,14.0,-5.0,1998
12,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,19.1176470588,10.0,-5.0,2048,0.341463414634,17.0,-3.0,2050
13,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,17.2478793591,10.0,-5.0,4334,2.02998846597,14.0,-3.0,4335
14,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,25.7197696737,8.0,-2.0,2101,0.809523809524,17.0,-4.0,2100
15,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,16.5361584523,5.0,-6.0,2183,0.550206327373,15.0,-4.0,2181
16,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,19.9701715138,7.0,-4.0,6773,1.06288751107,18.0,-4.0,6774
17,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,14.9068322981,9.0,-6.0,1456,0.618982118294,16.0,-4.0,1454
18,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,14.1535793429,5.0,-8.0,10457,0.430994097255,19.0,-3.0,10673
19,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,22.0352312048,6.0,-4.0,6483,1.65047046121,22.0,-4.0,6483
20,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,13.7362637363,4.0,-8.0,1669,1.91961607678,14.0,-3.0,1667
21,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,14.8443157133,6.0,-4.0,1387,0.360490266763,15.0,-3.0,1387
22,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,16.4352550558,5.0,-5.0,6725,1.23401724651,19.0,-4.0,6726
23,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,14.1758241758,6.0,-6.0,913,0.218579234973,16.0,-4.0,915
24,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,17.2523961661,6.0,-2.0,629,0.317965023847,14.0,-2.0,629
25,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,16.0265528687,3.0,-5.0,2113,0.0946521533365,17.0,-3.0,2113
26,HI,HNL,P,L,9479094,Honolulu International Airport,Honolulu,United States,21.3187007904,-157.92199707,13.0,-10,23.688155922,6.0,-6.0,669,0.597907324365,20.0,-4.0,669
27,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,15.3515064562,4.0,-5.0,2804,0.570613409415,12.0,-4.0,2804
28,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,18.6458333333,4.0,-3.0,965,0.517598343685,13.0,-3.0,966
29,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,14.1700404858,4.0,-7.0,1984,0.302419354839,12.0,-5.0,1984
30,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,17.7419354839,5.0,-6.0,62,0.0,14.0,-3.0,64
31,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,15.137016094,5.0,-7.0,2303,0.217108119844,13.0,-4.0,2303
32,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,11.5468409586,6.0,-5.0,1378,0.0725689404935,15.0,-3.0,1378
33,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,11.4285714286,5.0,-6.0,245,0.408163265306,13.0,-7.0,245
34,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,13.2008516678,4.0,-7.0,1412,0.212464589235,12.0,-5.0,1412
35,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,12.8318584071,7.0,-7.0,1357,0.294985250737,16.0,-6.0,1356
36,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,17.0535714286,4.0,-4.0,2256,0.97474523704,15.0,-3.0,2257
37,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,13.2975151108,5.0,-5.0,1499,0.200133422282,14.0,-2.0,1499
38,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,15.2905198777,4.0,-5.0,983,0.20325203252,14.0,-4.0,984
39,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,16.9197396963,7.0,-3.0,924,0.4329004329,15.0,-3.0,924
40,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,13.2019704433,4.0,-6.0,1018,0.197044334975,11.0,-5.0,1015
41,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,11.0671936759,4.0,-8.0,1266,0.315706393054,13.0,-5.0,1267
42,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,13.6363636364,7.0,-6.0,618,0.161812297735,12.0,-4.0,618
43,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,12.5722543353,5.0,-6.0,1385,0.0721500721501,12.0,-5.0,1386
44,IN,IND,P,M,3889567,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,-5,12.9591836735,6.0,-8.0,980,0.0,14.0,-5.0,980
45,OH,CMH,P,M,3312496,Port Columbus International Airport,Columbus,United States,39.9980010986,-82.8918991089,815.0,-5,15.1515151515,5.0,-6.0,628,0.31847133758,12.0,-5.0,628
46,WI,MKE,P,M,3229897,General Mitchell International Airport,Milwaukee,United States,42.9472007751,-87.8965988159,723.0,-6,14.9159663866,4.0,-6.0,478,0.418410041841,13.0,-4.0,478
47,HI,OGG,P,M,3220753,Kahului Airport,Kahului,United States,20.8985996246,-156.429992676,54.0,-10,22.2222222222,5.0,-3.0,408,0.980392156863,12.0,-6.0,408
48,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,12.5,5.0,-9.0,1015,1.28078817734,11.0,-5.0,1015
49,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,18.1188118812,5.0,-3.0,1012,0.296442687747,13.0,-4.0,1012
50,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,11.7212249208,5.0,-7.0,971,3.29218106996,12.5,-4.0,972
