,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,9.375,7.0,-10.0,160,0.0,14.0,-4.0,160
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,14.9303888622,12.0,-3.0,2087,0.0958313368471,20.0,-6.0,2087
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,13.3709981168,12.0,-8.0,533,0.187265917603,18.0,-5.0,534
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,8.52272727273,9.0,-7.0,352,0.0,16.0,-5.0,353
4,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,7.77777777778,7.0,-13.0,91,0.0,23.0,-5.0,91
5,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,8.14606741573,7.0,-5.0,358,0.279329608939,14.0,-5.0,358
6,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,20.0442151805,8.0,-4.0,1371,1.23997082422,17.0,-5.0,1371
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,9.96240601504,6.0,-4.0,1066,0.187617260788,14.0,-7.0,1066
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,12.6736111111,5.0,-4.0,577,0.0,12.0,-8.0,577
9,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,9.02255639098,7.0,-10.0,133,0.0,17.0,-4.0,132
10,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,11.8145971282,8.0,-6.0,13494,0.148170099274,16.0,-4.0,13498
11,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,13.4078212291,5.0,-3.0,182,1.64835164835,14.0,-4.0,182
12,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,20.1923076923,8.0,-2.0,208,0.0,20.0,-5.0,208
13,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,9.41176470588,5.0,-6.0,170,0.0,17.0,-4.0,170
14,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,15.3477218225,6.5,-8.0,418,0.477326968974,21.0,-4.0,419
15,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,13.1868131868,5.0,-3.0,91,0.0,15.0,-4.0,91
16,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,14.2857142857,6.0,-11.0,91,0.0,18.0,-5.0,91
17,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,10.2272727273,4.0,-3.5,91,2.1978021978,16.0,-8.0,91
18,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,9.34065934066,5.0,-11.5,182,0.549450549451,15.0,-3.5,182
19,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,14.8760330579,4.0,-12.0,364,0.0,15.0,-6.0,364
20,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,6.89102564103,4.0,-8.0,626,0.159744408946,14.0,-7.0,626
21,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,14.4444444444,6.0,-12.5,90,1.11111111111,15.0,-7.0,90
