,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,18.1409295352,9.0,-9.0,1341,0.298062593145,15.0,0.0,1342
1,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,16.9387755102,15.0,-9.0,491,0.0,16.0,-4.0,581
2,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,12.6506024096,9.0,-15.0,166,0.0,17.0,-1.0,166
3,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,19.5089100705,6.0,-7.0,9750,0.625120215426,20.0,-2.0,10398
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,20.3921568627,7.0,-8.0,255,0.0,13.0,-1.0,255
5,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,22.50174703,9.0,-7.0,1451,0.692520775623,15.0,-1.0,1444
6,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,12.7329192547,7.0,-14.0,322,0.0,18.0,-4.0,322
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,21.6393442623,7.0,-6.0,1227,0.814332247557,14.0,0.0,1228
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,19.5652173913,5.0,-10.0,184,0.0,14.0,-1.0,184
9,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,22.1987315011,8.0,-6.0,474,0.42194092827,16.0,-1.0,474
10,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,19.3508114856,10.0,-8.0,4083,1.9465727894,14.0,-2.0,4829
11,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,24.8942917548,8.0,-5.0,1919,0.991080277502,17.0,-3.0,2018
12,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,21.4927632201,5.0,-5.0,10651,0.476889214967,16.0,-3.0,10904
13,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,19.5402298851,7.0,-8.0,349,0.859598853868,13.0,-4.0,349
14,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,16.2790697674,6.0,-12.0,606,0.661157024793,16.0,-8.0,605
