,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,14.2776203966,9.0,-9.0,1780,1.06681639528,13.0,-5.0,1781
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,15.5402496771,10.0,-5.0,2336,0.342319212666,12.0,-5.0,2337
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,14.0016570008,12.0,-11.0,2439,1.06513723884,15.0,-6.0,2441
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,14.7045137273,11.0,-9.0,2169,0.598526703499,15.0,-4.0,2172
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,10.1834862385,9.0,-8.0,1094,0.457038391225,11.0,-5.0,1094
5,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,11.4886164623,7.0,-9.0,2864,0.244413407821,13.0,-6.0,2864
6,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,11.0599078341,7.0,-7.0,219,0.917431192661,11.0,-9.0,218
7,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,10.0996677741,9.0,-10.0,1514,0.594451783355,13.0,-6.0,1514
8,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,15.3846153846,9.0,-7.0,364,0.0,15.0,-4.0,364
9,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,10.8522378909,9.0,-8.0,1667,2.33618233618,13.0,-5.0,1755
10,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,29.3413173653,9.0,3.0,169,0.595238095238,15.0,-3.0,168
11,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,13.9596136962,6.0,-8.0,1143,0.700525394046,14.0,-5.0,1142
12,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,22.866174921,8.0,-4.0,965,1.34854771784,15.0,-1.0,964
13,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,13.26577614,8.0,-8.0,2194,0.911577028259,13.0,-5.0,2194
14,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,18.6177715092,6.0,-5.0,722,1.24481327801,15.0,-4.0,723
15,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,23.2032854209,8.0,-5.0,1001,2.5974025974,18.0,-5.0,1001
16,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,14.0241909121,7.0,-9.0,3125,1.51066350711,12.0,-3.0,3376
17,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,13.5749822317,7.0,-9.0,1421,1.05559465165,11.0,-3.0,1421
18,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,10.0200400802,5.0,-8.0,504,0.595238095238,14.0,-5.0,504
19,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,12.7941176471,6.0,-9.0,686,0.875912408759,10.0,-6.0,685
20,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,14.0625,6.0,-8.5,321,0.311526479751,11.0,-4.0,321
21,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,12.0610687023,6.0,-9.0,658,0.455927051672,11.0,-4.0,658
22,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,10.113960114,5.0,-10.0,706,0.707213578501,10.0,-5.0,707
