,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,13.0633572828,8.0,-11.0,1534,0.195694716243,15.0,-2.0,1533
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,25.6112722752,13.0,-1.0,7278,0.343878954608,16.0,1.0,7270
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,15.0118381945,11.0,-9.0,20007,0.432470050206,18.0,0.0,20117
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,13.880126183,10.0,-12.0,1270,0.315208825847,16.0,-4.0,1269
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,8.22643979058,7.0,-14.0,15346,0.312764709715,13.0,-3.0,15347
5,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,19.8100898811,7.0,-7.0,13895,0.410544511668,18.0,-1.0,13884
6,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,12.7208480565,8.0,-13.0,285,0.701754385965,15.0,-3.0,285
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,12.70683734,7.0,-10.0,3209,0.34257240735,14.0,-3.0,3211
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,20.7616707617,6.0,-8.0,1636,0.30637254902,11.0,-3.0,1632
9,FL,MIA,P,L,20986349,Miami International Airport,Miami,United States,25.7931995392,-80.2906036377,8.0,-5,16.7750325098,4.0,-9.0,781,1.540436457,14.0,-3.0,779
10,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,10.1622791201,7.0,-12.0,13945,0.305527923831,15.0,-1.0,14074
11,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,14.8848684211,8.0,-9.0,2438,0.204666393778,16.0,-3.0,2443
12,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,13.6739293764,8.0,-9.0,2716,1.9131714496,12.0,-3.0,2718
13,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,19.1290702236,8.0,-9.0,12846,0.443018637336,18.0,-1.0,13092
14,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,13.2217573222,5.0,-10.0,1202,0.748752079867,15.0,-3.0,1202
15,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,19.7653429603,6.0,-6.0,3346,0.687387925882,15.0,0.0,3346
16,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,12.8571428571,6.0,-11.0,632,0.476947535771,13.0,-4.0,629
17,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,16.9040835708,6.0,-9.0,1059,0.28328611898,15.0,-2.0,1059
18,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,24.5668591737,5.0,-7.0,2285,0.700832238283,20.0,-2.0,2283
19,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,13.2930513595,4.0,-10.0,1009,1.68483647175,14.0,-5.0,1009
20,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,13.9697322468,5.0,-10.0,861,0.348432055749,11.0,-2.0,861
21,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,14.6929824561,4.0,-8.0,1374,0.436999271668,14.0,-3.0,1373
22,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,16.8449197861,4.0,-8.0,374,0.0,13.0,-3.0,374
23,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,10.8146821844,6.0,-11.0,5620,0.619359405415,14.0,-3.0,5651
24,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,11.8150684932,4.0,-10.0,2341,0.213675213675,15.0,-2.0,2340
25,HI,HNL,P,L,9479094,Honolulu International Airport,Honolulu,United States,21.3187007904,-157.92199707,13.0,-10,20.0689061154,6.0,-6.0,1168,0.714853057983,18.0,-1.0,1259
26,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,13.1386861314,6.0,-9.0,1370,0.073046018992,11.0,-4.0,1369
27,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,14.768683274,4.0,-8.0,1689,0.0,11.0,-3.0,1691
28,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,14.7959183673,5.0,-9.0,392,0.769230769231,12.0,-2.0,390
29,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,11.0328638498,6.0,-12.0,1285,0.3125,12.0,-3.5,1280
30,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,13.1172839506,7.0,-11.5,650,0.308166409861,13.0,-2.0,649
31,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,13.3193863319,4.0,-11.0,1434,0.20979020979,10.0,-4.0,1430
32,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,16.1290322581,6.0,-10.0,498,0.200803212851,14.0,-6.0,498
33,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,12.7450980392,4.0,-13.0,1024,0.780487804878,13.0,-4.0,1025
34,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,10.3279832519,5.0,-11.0,1436,0.278551532033,11.0,-3.0,1436
35,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,7.34966592428,4.0,-12.0,450,0.223214285714,11.0,-7.0,448
36,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,12.4128312413,6.0,-9.0,721,0.556328233658,12.0,-4.0,719
37,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,14.6639511202,4.0,-10.0,491,0.20366598778,11.0,-6.0,491
38,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,11.7647058824,3.0,-10.0,835,0.480769230769,11.0,-5.0,832
39,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,14.0,6.0,-11.0,1504,0.731382978723,11.0,-3.0,1504
40,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,14.897260274,6.0,-8.0,585,0.17094017094,12.0,-4.0,585
41,IN,IND,P,M,3889567,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,-5,12.8358208955,5.0,-10.0,335,0.0,11.0,-5.0,334
42,OH,CMH,P,M,3312496,Port Columbus International Airport,Columbus,United States,39.9980010986,-82.8918991089,815.0,-5,13.8173302108,6.0,-8.0,428,0.467289719626,13.0,-3.0,428
43,WI,MKE,P,M,3229897,General Mitchell International Airport,Milwaukee,United States,42.9472007751,-87.8965988159,723.0,-6,9.81308411215,4.0,-16.0,214,0.0,13.0,-2.0,213
44,HI,OGG,P,M,3220753,Kahului Airport,Kahului,United States,20.8985996246,-156.429992676,54.0,-10,17.2344689379,5.0,-4.0,501,0.798403193613,10.0,-3.0,501
45,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,16.7865707434,5.0,-12.0,424,1.89125295508,11.0,-5.0,423
46,KY,CVG,P,M,3054991,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,39.0488014221,-84.6678009033,896.0,-5,11.320754717,5.0,-22.0,107,0.943396226415,13.0,-5.0,106
47,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,11.2612612613,5.0,-10.0,444,0.0,12.0,-5.0,444
48,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,22.3880597015,5.0,-11.0,67,0.0,11.5,-3.0,66
49,AK,ANC,P,M,2525893,Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003296,-149.996002197,152.0,-9,14.7058823529,4.0,-10.0,137,1.4598540146,12.0,-1.0,137
50,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,15.1685393258,4.0,-11.0,178,0.0,13.0,-4.0,179
51,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,9.24855491329,5.0,-14.0,349,0.859598853868,11.0,-5.0,349
52,CA,ONT,P,M,2089801,Ontario International Airport,Ontario,United States,34.0559997559,-117.600997925,944.0,-8,8.72483221477,4.0,-19.0,149,0.0,13.0,-2.0,147
53,NE,OMA,P,M,2046179,Eppley Airfield,Omaha,United States,41.3031997681,-95.8940963745,984.0,-6,11.7310443491,4.0,-13.0,704,1.42247510669,11.0,-6.0,703
54,TN,MEM,P,S,1873716,Memphis International Airport,Memphis,United States,35.0424003601,-89.9766998291,341.0,-6,13.9072847682,6.0,-11.0,151,0.657894736842,13.0,-2.0,152
55,OK,OKC,P,S,1803188,Will Rogers World Airport,Oklahoma City,United States,35.3931007385,-97.6007003784,1295.0,-6,14.5348837209,5.0,-12.5,174,0.0,12.0,-4.0,174
56,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,26.9662921348,4.0,-6.0,90,1.11111111111,12.0,-6.0,90
57,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,18.8888888889,4.0,-9.0,90,0.0,13.0,-2.5,90
58,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,14.2857142857,4.0,-10.0,7,0.0,9.0,-3.0,7
59,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,9.67741935484,5.0,-6.5,186,0.0,11.0,-5.0,186
60,AZ,TUS,P,S,1549253,Tucson International Airport,Tucson,United States,32.1161003113,-110.941001892,2643.0,-7,6.45161290323,4.0,-21.0,31,0.0,11.0,-2.0,31
61,WA,GEG,P,S,1515351,Spokane International Airport,Spokane,United States,47.6198997498,-117.533996582,2376.0,-8,8.33333333333,4.0,-9.0,168,0.0,11.0,-4.0,168
62,VA,ORF,P,S,1515200,Norfolk International Airport,Norfolk,United States,36.8945999146,-76.2012023926,26.0,-5,18.6567164179,4.0,-11.0,137,2.1897810219,11.0,-3.0,137
