,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,11.1960007546,8.0,-6.0,10651,0.35677401183,13.0,-1.0,10651
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,27.8579033975,9.0,4.0,10445,1.06260769673,11.0,4.0,10446
2,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,11.0506162499,7.0,-7.0,16749,0.137288843789,12.0,0.0,16753
3,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,27.3902439024,7.0,0.0,4214,2.72899857617,14.0,0.0,4214
4,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,20.1612903226,7.0,-2.0,622,0.32154340836,12.0,-1.0,622
5,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,13.8559322034,6.0,-4.0,18953,0.242718446602,12.0,0.0,18952
6,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,20.7659225886,6.0,-2.0,14720,0.129076086957,11.0,0.0,14720
7,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,17.4921271114,7.0,-2.0,3495,0.0858123569794,17.0,0.0,3496
8,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,10.8976727004,7.0,-7.0,8342,2.33148661127,12.0,-2.0,8664
9,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,23.1951871658,9.0,-4.0,1508,0.596816976127,16.0,-2.0,1508
10,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,14.3549097314,5.0,-4.0,2278,0.219490781387,11.0,-1.0,2278
11,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,20.4042956412,8.0,-1.0,3175,0.220472440945,16.0,0.0,3175
12,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,11.5654205607,7.0,-6.0,1716,0.291545189504,12.0,-2.0,1715
13,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,15.1129943503,6.0,-5.0,2137,0.514740290126,14.0,-1.0,2137
14,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,23.5587188612,7.0,-2.0,2822,0.141743444366,20.0,-1.0,2822
15,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,12.9977460556,5.0,-6.0,4078,1.88544152745,13.0,-2.0,4190
16,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,9.69882298638,5.0,-8.0,17425,0.404489261095,11.0,-2.0,17553
17,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,12.5388601036,5.0,-5.0,3873,0.309837335399,14.0,-2.0,3873
18,IL,MDW,P,L,10830850,Chicago Midway International Airport,Chicago,United States,41.7859992981,-87.7524032593,620.0,-6,10.5079825835,5.0,-8.0,20802,0.384485990292,11.0,-1.0,20807
19,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,16.1303462322,4.0,-3.0,2458,0.0406669377796,12.0,-1.0,2459
20,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,9.98151571165,6.0,-7.0,541,0.0,14.0,-2.0,541
21,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,14.0934844193,4.0,-3.0,8545,0.830895260386,11.0,0.0,8545
22,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,11.4300536054,5.0,-7.0,5797,0.219891745602,10.0,-1.0,5912
23,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,12.8804347826,4.0,-5.0,3687,0.135611608354,10.0,-1.0,3687
24,TX,DAL,P,M,7040950,Dallas Love Field,Dallas,United States,32.8470993042,-96.8517990112,487.0,-6,13.0880539874,5.0,-5.0,15491,0.232378001549,10.0,0.0,15492
25,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,12.6025181934,4.0,-5.0,8676,0.161420500404,9.0,-1.0,8673
26,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,12.9147400016,5.0,-6.0,12402,0.362493958434,10.0,-1.0,12414
27,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,14.4895936571,5.0,-4.0,5074,0.197083169097,10.0,-1.0,5074
28,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,10.749868904,6.0,-6.0,7664,0.326285565127,10.0,-2.0,7662
29,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,16.1523046092,6.0,-3.0,10045,0.52762568442,10.0,0.0,10045
30,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,12.3339238264,4.0,-5.0,4534,0.375027575557,8.0,-1.0,4533
31,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,11.8513558755,5.0,-6.0,5993,0.233605873519,10.0,-2.0,5993
