,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,18.9736176364,8.0,-5.0,2788,0.501792114695,16.0,-3.0,2790
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,19.8098098098,10.0,-5.0,10041,0.378486055777,18.0,-2.0,10040
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,17.9510309278,14.0,-6.0,15657,0.615716643392,15.0,-2.0,15754
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,17.0316928627,10.0,-7.0,35499,1.0483645513,15.0,-2.0,35770
4,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,21.187983614,9.0,-5.0,4429,0.44795221843,22.0,-2.0,4688
5,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,21.0423959549,8.0,-2.0,2639,2.35115661737,14.0,-3.0,2637
6,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,27.5991024682,5.0,-3.0,4028,0.397219463754,16.0,-3.0,4028
7,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,11.6054891396,8.0,-7.0,23925,0.296369473944,18.0,-3.0,24294
8,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,17.1945701357,7.0,-6.0,4001,0.225056264066,16.0,-4.0,3999
9,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,12.037158184,6.0,-7.0,15376,0.201586682273,16.0,-3.0,15378
