,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,13.9628732849,8.0,-11.0,1243,0.160901045857,13.0,-1.0,1243
1,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,16.4609053498,16.0,-9.0,492,0.856164383562,16.0,-3.0,584
2,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,24.375,8.0,-5.0,162,1.23456790123,15.0,4.0,162
3,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,21.5265866209,6.0,-6.0,10560,0.299612266479,22.0,-2.0,11348
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,20.3921568627,7.0,-10.0,262,2.67175572519,13.0,0.0,262
5,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,26.8125854993,9.0,-5.0,1476,0.203389830508,16.0,-1.0,1475
6,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,11.3372093023,6.0,-10.5,345,0.579710144928,16.0,-5.0,345
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,20.7956600362,8.0,-6.0,1111,0.3600360036,16.0,1.0,1111
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,15.7608695652,4.0,-11.5,184,0.0,14.0,-0.5,184
9,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,16.9014084507,7.0,-9.0,499,0.200400801603,16.0,0.0,499
10,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,24.1654913023,9.0,-3.0,4305,0.658531861321,15.0,-1.0,5163
11,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,28.0069726903,8.0,-3.0,1735,0.641025641026,17.0,-1.0,1872
12,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,18.9217557252,5.0,-7.0,10585,0.644341591796,16.0,-2.0,11019
