,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,27.5521405049,9.0,-1.0,1858,1.50699677072,13.0,0.0,1858
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,27.9004227337,9.0,1.0,2164,1.38760407031,12.0,0.0,2162
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,28.0772032047,15.0,-1.0,2796,1.71735241503,15.0,1.0,2795
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,31.2777284827,9.0,1.0,2312,1.68612191958,15.0,0.0,2313
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,27.7163904236,9.0,-1.0,1118,3.04386750224,12.0,0.0,1117
5,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,26.4288314525,6.0,-2.0,2805,1.60485021398,12.0,-1.0,2804
6,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,30.9973045822,7.0,0.0,379,3.42105263158,11.0,-2.0,380
7,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,30.2904564315,9.0,0.0,1483,2.83400809717,13.0,1.0,1482
8,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,25.0,9.0,-1.0,233,1.29310344828,15.0,1.0,232
9,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,24.3969676085,8.0,-2.0,1474,1.24917817226,15.0,-2.0,1521
10,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,25.8302583026,6.0,-1.0,1093,1.09789569991,13.0,-1.0,1093
11,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,25.8103241297,10.0,-2.0,846,1.536643026,16.0,0.0,846
12,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,25.6847777279,9.0,-2.0,2246,0.668449197861,12.0,-2.0,2244
13,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,29.5900178253,7.0,1.0,565,1.06382978723,16.0,-2.0,564
14,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,28.1533804238,8.0,-1.0,1011,1.97823936696,18.0,-1.0,1011
15,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,26.359832636,7.0,-2.0,3158,0.645161290323,13.0,0.0,3410
16,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,23.9530988275,7.0,-2.0,1206,1.07883817427,11.0,0.0,1205
17,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,27.8084714549,5.0,0.0,552,1.8115942029,14.0,-3.0,552
18,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,32.4613555291,5.0,1.0,866,2.99884659746,12.0,-1.0,867
19,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,24.4897959184,5.0,-2.0,299,2.0,12.0,-1.0,300
20,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,27.0727580372,7.0,0.0,600,1.33333333333,10.0,-1.0,600
21,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,24.0506329114,5.0,-2.0,647,2.46913580247,11.0,-2.0,648
22,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,21.978021978,6.0,-3.0,276,1.08695652174,10.0,-2.0,276
23,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,34.2902711324,4.0,2.0,633,0.946372239748,10.0,0.0,634
24,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,24.0997229917,8.0,-1.0,737,1.49456521739,12.0,0.0,736
25,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,43.023255814,5.0,9.0,88,3.40909090909,13.0,10.5,88
26,SC,MYR,P,S,899859,Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502,25.0,-5,20.3373015873,5.0,-4.0,1018,1.57170923379,9.0,-3.0,1018
27,NJ,ACY,P,S,587967,Atlantic City International Airport,Atlantic City,United States,39.4575996399,-74.5772018433,75.0,-5,28.2586027112,4.0,-1.0,967,1.44628099174,10.0,-2.0,968
28,WV,CRW,P,N,225170,Yeager Airport,Charleston,United States,38.3731002808,-81.5932006836,981.0,-5,23.0769230769,3.0,2.0,13,0.0,10.0,5.0,13
29,PA,LBE,P,N,181105,Arnold Palmer Regional Airport,Latrobe,United States,40.27590179,-79.40480042,1199.0,-5,25.8620689655,5.0,-3.5,293,1.02040816327,11.0,-7.0,294
30,NY,PBG,P,N,131600,Plattsburgh International Airport,Plattsburgh,United States,44.6509017944,-73.4681015015,234.0,-5,24.7058823529,5.0,-4.0,85,0.0,10.5,-1.0,86
31,NY,IAG,P,N,121616,Niagara Falls International Airport,Niagara Falls,United States,43.1072998047,-78.9461975098,589.0,-5,19.0,6.0,-7.5,103,2.88461538462,10.0,-2.0,104
