,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,14.139941691,8.0,-12.0,1384,1.08459869848,15.0,0.0,1383
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,17.5710594315,10.0,-7.0,7024,0.697806892623,14.0,-2.0,7022
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,13.8317413666,11.0,-10.0,16488,0.523528703815,17.0,0.0,16618
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,19.0476190476,8.0,-9.5,897,1.22905027933,15.0,-3.0,895
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,12.6048627897,7.0,-12.0,14509,2.46352876411,13.0,-2.0,14532
5,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,19.974884232,6.0,-10.0,12846,0.538095609452,17.0,-1.0,12823
6,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,15.0183150183,7.0,-12.0,276,1.44927536232,14.0,-2.0,276
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,16.0820648577,7.0,-11.0,3055,0.850785340314,15.0,-3.0,3056
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,14.7330595483,6.0,-10.0,1965,1.06924643585,11.0,-2.0,1964
9,FL,MIA,P,L,20986349,Miami International Airport,Miami,United States,25.7931995392,-80.2906036377,8.0,-5,19.9608610568,5.0,-9.0,1031,0.580832526621,14.0,-2.0,1033
