,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,17.9960999164,8.0,-3.0,10844,0.350391885662,14.0,0.0,10845
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,26.7931294828,9.0,3.0,10805,1.87002406962,10.0,4.0,10802
2,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,17.050955414,7.0,-4.0,16111,2.18565662838,11.0,0.0,16105
3,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,32.3875255624,5.0,2.0,4066,3.51783517835,12.0,-1.0,4065
4,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,24.7169811321,7.0,3.0,532,0.751879699248,15.0,1.0,532
5,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,16.683259104,6.0,-4.0,19225,0.561768530559,12.0,0.0,19225
6,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,17.0266262652,6.0,-2.0,15630,0.441515229076,10.0,1.0,15628
7,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,20.8472314877,7.0,-1.0,3011,0.298904018598,15.0,0.0,3011
8,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,16.6836876799,8.0,-5.0,10887,0.567375886525,11.0,-1.0,11280
9,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,23.6326806212,9.0,-3.0,1498,1.46862483311,16.0,-2.0,1498
10,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,20.3413940256,5.0,-2.0,2125,0.706214689266,11.0,-1.0,2124
11,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,18.354860639,8.0,-3.0,2966,0.708024275118,16.0,-1.0,2966
12,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,19.6319018405,8.0,-2.0,1808,0.663349917081,12.0,-1.0,1809
13,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,18.3482142857,7.0,-4.0,2251,0.355397601066,13.0,-1.0,2251
14,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,24.3797195254,7.0,-2.0,2805,0.748663101604,21.0,0.0,2805
