,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,27.5483870968,8.0,-2.0,3146,1.36768447837,17.0,-3.0,3144
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,32.1654706627,13.0,1.0,11971,0.90210491146,21.0,2.0,11972
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,30.1854563202,14.0,-1.0,16746,1.73530635289,16.0,1.0,16827
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,25.8715387461,11.0,-3.0,36181,1.93656644569,15.0,1.0,36353
4,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,33.9168951698,9.0,1.0,4868,2.28381807535,25.0,0.0,5123
5,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,32.9038997214,9.0,2.0,2930,1.67178437393,14.0,-1.0,2931
6,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,33.150434385,5.0,1.0,4422,1.0854816825,17.0,-2.0,4422
7,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,18.8719525212,9.0,-5.0,23753,0.837548718799,18.0,-1.0,24118
8,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,28.4546983898,7.0,-1.0,4233,1.72332389046,15.0,-1.0,4236
9,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,19.2639560727,6.0,-3.0,15593,0.846262341326,16.0,-2.0,15598
10,FL,MIA,P,L,20986349,Miami International Airport,Miami,United States,25.7931995392,-80.2906036377,8.0,-5,28.3922829582,8.0,0.0,12689,1.34002149767,17.0,0.0,13955
11,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,30.4657794677,8.0,0.0,2161,2.5462962963,14.0,-3.0,2160
12,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,33.1240188383,9.0,3.0,3231,1.33126934985,17.0,0.0,3230
13,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,28.8897975874,9.0,0.0,4955,1.08958837772,15.0,-2.0,4956
14,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,38.6266094421,7.0,5.0,2159,2.26746876446,18.0,-2.0,2161
15,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,32.8779599271,5.0,2.0,2240,2.14190093708,15.0,-2.0,2241
16,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,26.2102166355,6.0,-3.0,7634,2.05631958088,18.0,-3.0,7635
17,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,28.7325812873,8.0,0.0,1533,1.4983713355,15.0,-2.0,1535
18,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,22.6523672509,5.0,-4.0,11623,0.93739537998,21.0,-2.0,11948
19,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,30.3513433717,6.0,-1.0,7068,3.59366157329,23.0,-2.0,7068
20,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,26.5217391304,4.0,-2.0,1861,0.966702470462,14.0,-2.0,1862
21,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,30.8755760369,6.0,1.0,1534,1.10749185668,15.0,-1.0,1535
22,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,29.1724520966,6.0,1.0,7410,2.54991905019,19.0,-2.0,7412
23,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,27.7907884465,6.0,-1.0,1293,1.23839009288,15.0,-2.0,1292
24,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,35.7142857143,5.0,4.0,725,1.65517241379,15.0,-1.0,725
25,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,26.0273972603,3.0,-2.0,2589,1.62224797219,18.0,-3.0,2589
26,HI,HNL,P,L,9479094,Honolulu International Airport,Honolulu,United States,21.3187007904,-157.92199707,13.0,-10,27.808676307,5.0,-3.0,905,0.883977900552,19.0,-5.0,905
27,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,29.9089726918,4.0,1.0,3119,1.21912094963,12.0,-2.0,3117
28,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,30.3797468354,4.0,1.0,1285,1.47975077882,12.0,-3.0,1284
29,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,29.7563261481,4.0,-2.0,2183,2.47252747253,12.0,-4.0,2184
30,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,18.5185185185,5.0,-6.0,27,0.0,13.0,-5.0,25
31,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,29.8052497883,6.0,-1.0,2406,2.03742203742,12.0,-3.0,2405
32,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,27.3903666427,6.0,-1.0,1428,2.24246671338,14.0,-2.0,1427
33,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,22.4598930481,5.0,-2.0,187,1.06951871658,12.0,-5.0,187
34,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,29.6140350877,4.0,-1.0,1447,1.65860400829,12.0,-4.0,1447
35,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,25.8064516129,7.0,-3.0,1719,2.38095238095,15.0,-4.0,1722
36,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,28.5399205999,4.0,-1.0,2310,1.64502164502,15.0,-2.0,2310
37,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,20.229468599,5.0,-3.0,1677,1.07398568019,14.0,-3.0,1676
38,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,23.1337161608,4.0,-2.0,1230,1.21951219512,14.0,-3.0,1230
39,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,27.0450751252,5.0,0.0,1210,1.32340777502,12.0,-2.0,1209
40,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,23.9802224969,4.0,-4.0,819,0.852618757613,11.5,-3.0,821
41,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,31.7329332333,4.0,-2.0,1365,2.85714285714,12.0,-4.0,1365
42,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,25.7048092869,6.0,-2.0,611,1.47540983607,12.0,-4.0,610
43,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,27.1708683473,5.0,-2.0,1442,0.971547536433,12.0,-4.0,1441
