,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,8.75,7.0,-12.0,241,0.0,16.0,-4.0,241
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,15.1823579304,13.0,-4.0,2364,0.0846023688663,21.0,-4.0,2364
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,16.4623467601,12.0,-9.0,575,0.695652173913,17.0,-5.0,575
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,11.5740740741,8.0,-4.0,440,0.454545454545,17.0,-4.0,440
4,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,7.60869565217,7.0,-17.0,92,0.0,26.0,-5.0,92
5,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,13.7111517367,6.0,-4.0,551,0.181488203267,14.0,-5.0,551
6,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,19.2737430168,7.0,-6.0,1433,0.0698324022346,16.0,-4.0,1432
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,9.66875559534,6.0,-5.0,1119,0.714924039321,14.0,-8.0,1119
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,6.96324951644,6.0,-8.0,520,0.0,12.0,-6.0,521
9,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,9.61538461538,7.0,-12.5,156,0.0,14.0,-3.0,156
10,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,13.3187491957,8.0,-5.0,15596,0.0190234622701,16.0,-3.0,15770
11,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,12.1076233184,6.0,-7.0,224,0.444444444444,13.0,-7.0,225
12,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,25.1366120219,6.5,-3.0,184,0.0,20.0,-6.0,184
13,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,11.1111111111,6.0,-7.0,244,0.409836065574,16.0,-3.0,244
14,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,11.7391304348,7.0,-10.0,460,0.0,22.0,-4.0,460
15,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,15.7894736842,6.0,-2.5,152,0.0,15.0,-3.0,152
16,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,17.3913043478,6.0,-8.0,92,0.0,21.0,-7.5,92
17,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,9.89010989011,4.0,-7.0,92,0.0,16.0,-6.0,92
18,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,23.1213872832,5.0,-3.0,173,0.578034682081,16.0,-1.0,173
19,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,15.8469945355,4.0,-15.0,368,0.0,16.0,-5.0,368
20,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,7.28682170543,4.0,-7.0,645,0.0,14.0,-7.0,644
21,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,17.3913043478,5.5,-10.0,92,0.0,16.5,-3.0,92
22,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,9.03846153846,3.0,-7.0,1562,0.0,16.0,-6.0,1561
23,HI,HNL,P,L,9479094,Honolulu International Airport,Honolulu,United States,21.3187007904,-157.92199707,13.0,-10,11.0271903323,4.0,-6.0,664,0.0,20.0,-5.0,664
24,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,15.2173913043,5.0,-0.5,92,0.0,17.0,4.5,92
25,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,8.14441645676,4.0,-5.0,3580,0.0838222967309,13.0,-5.0,3579
26,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,15.5555555556,5.0,-3.0,180,0.0,13.0,-5.0,181
27,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,15.4838709677,6.0,-3.0,156,0.0,13.0,-3.0,157
28,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,14.4444444444,6.0,-2.0,92,1.08695652174,15.0,-1.0,92
29,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,6.50684931507,5.0,-9.0,584,0.0,11.0,-6.0,584
30,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,15.2173913043,4.0,-2.5,92,0.0,13.0,-3.0,92
31,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,17.679558011,5.0,-4.0,181,0.0,13.0,-4.0,182
32,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,9.78260869565,4.0,-5.0,92,0.0,14.0,-3.0,92
33,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,6.42701525054,5.0,-6.0,920,0.108695652174,11.0,-8.0,920
34,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,10.6037151703,4.0,-5.0,1294,0.0771604938272,12.0,-5.0,1296
35,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,10.2848101266,5.0,-5.0,632,0.0,12.0,-7.0,632
36,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,25.0,4.0,4.0,92,0.0,14.0,-5.0,92
37,HI,OGG,P,M,3220753,Kahului Airport,Kahului,United States,20.8985996246,-156.429992676,54.0,-10,6.49926144756,6.0,-9.0,679,0.441826215022,12.0,-8.0,679
38,AK,ANC,P,M,2525893,Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003296,-149.996002197,152.0,-9,10.9473023839,4.0,-5.0,3198,0.148075024679,11.0,-5.0,4052
39,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,13.0434782609,7.0,-2.0,92,0.0,14.0,-4.0,92
40,CA,ONT,P,M,2089801,Ontario International Airport,Ontario,United States,34.0559997559,-117.600997925,944.0,-8,6.90909090909,4.0,-7.0,275,0.36496350365,12.0,-7.0,274
41,NE,OMA,P,M,2046179,Eppley Airfield,Omaha,United States,41.3031997681,-95.8940963745,984.0,-6,13.6363636364,5.5,-1.0,88,0.0,13.0,-5.0,88
42,CA,BUR,P,S,1973897,Bob Hope Airport,Burbank,United States,34.2006988525,-118.35900116,778.0,-8,5.67823343849,3.0,-8.0,317,0.0,14.0,-8.0,317
43,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,7.69230769231,4.0,-12.0,53,0.0,17.0,-6.0,53
44,AZ,TUS,P,S,1549253,Tucson International Airport,Tucson,United States,32.1161003113,-110.941001892,2643.0,-7,10.8695652174,5.0,-7.0,92,0.0,11.0,-8.0,92
45,WA,GEG,P,S,1515351,Spokane International Airport,Spokane,United States,47.6198997498,-117.533996582,2376.0,-8,14.0921409214,4.0,0.0,369,0.271002710027,12.0,-5.0,369
46,HI,LIH,P,S,1491688,Lihue Airport,Lihue,United States,21.9759998322,-159.339004517,153.0,-10,6.41025641026,5.0,-12.0,312,0.0,11.0,-9.0,313
47,HI,KOA,P,S,1485777,Kona International At Keahole Airport,Kona,United States,19.7388000488,-156.046005249,47.0,-10,7.03363914373,4.0,-8.0,327,0.0,12.0,-7.0,328
48,CA,PSP,P,S,947728,Palm Springs International Airport,Palm Springs,United States,33.82970047,-116.507003784,477.0,-8,16.3179916318,4.0,-6.0,239,0.0,11.0,-8.0,240
