,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,28.2127031019,9.0,-2.0,1355,0.0738007380074,15.0,3.0,1355
1,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,36.1607142857,14.0,5.0,687,2.05128205128,18.0,0.0,780
2,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,17.9640718563,8.0,-11.0,171,0.584795321637,17.0,1.0,171
3,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,29.935097354,6.0,-3.0,10269,1.96920873613,24.0,0.0,11172
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,38.3900928793,7.0,3.0,325,1.23076923077,14.0,10.0,325
5,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,26.8090971744,9.0,-3.0,1457,0.549450549451,17.0,0.0,1456
6,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,17.2011661808,6.0,-8.0,359,3.3426183844,16.0,-3.0,359
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,27.3029045643,7.0,-4.0,1211,0.825763831544,15.0,5.0,1211
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,33.3333333333,4.0,-2.5,184,1.08695652174,14.0,9.0,184
9,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,30.0771208226,8.0,1.0,780,0.12836970475,16.0,5.0,779
10,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,29.7158826269,10.0,-1.0,4380,1.46350500185,14.0,1.0,5398
11,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,37.9330254042,7.0,2.0,1800,3.0565461029,18.0,0.0,1963
12,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,25.2208835341,6.0,-4.0,11334,0.871124775813,17.0,-1.0,11709
13,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,27.868852459,7.0,-4.5,366,0.546448087432,13.0,-4.0,366
14,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,22.6168224299,6.0,-8.0,548,2.18579234973,19.0,-6.0,549
15,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,36.7398119122,6.0,1.0,1655,2.71903323263,21.0,0.0,1655
16,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,30.3191489362,5.0,-1.0,4582,1.20345994735,14.0,2.0,5318
17,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,23.6057068742,6.0,-3.0,783,1.53256704981,14.0,-4.0,783
18,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,22.5980015373,3.0,-7.0,2633,1.1376146789,14.0,-4.0,2725
19,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,31.1965811966,4.0,-1.0,470,0.851063829787,14.0,5.0,470
20,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,22.3300970874,4.0,-8.0,533,3.56472795497,14.0,-4.0,533
