,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,23.8095238095,8.0,-7.0,1765,1.1350737798,16.0,0.0,1762
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,28.268370607,12.0,0.0,7913,0.947448206165,16.0,1.0,7916
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,21.8388341192,11.0,-7.0,18974,1.0747051114,19.0,2.0,19075
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,24.9042145594,8.0,-6.0,1328,1.51171579743,17.0,-2.0,1323
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,14.2203052422,7.0,-11.0,15297,0.51013734467,14.0,-2.0,15290
5,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,21.9727080021,7.0,-7.0,15265,0.773314109706,18.0,0.0,15259
6,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,17.5257731959,8.0,-7.0,294,1.01694915254,15.0,0.0,295
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,18.52248394,7.0,-9.0,2815,0.425833924769,15.0,-3.0,2818
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,21.0569105691,6.0,-8.0,1239,0.483870967742,12.0,-2.0,1240
9,FL,MIA,P,L,20986349,Miami International Airport,Miami,United States,25.7931995392,-80.2906036377,8.0,-5,29.4303797468,4.0,-6.0,641,0.622083981337,15.0,-3.0,643
10,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,18.2141819239,7.0,-9.0,14011,0.779384917849,16.0,1.0,14242
11,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,22.5694444444,9.0,-5.0,2902,0.55191445326,16.0,-1.0,2899
12,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,22.5741913971,7.0,-7.0,3018,0.497347480106,14.0,-2.0,3016
13,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,24.8719180275,10.0,-6.0,12745,0.992499431775,19.0,4.0,13199
14,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,20.9737827715,5.0,-10.0,1074,0.561797752809,15.0,-1.0,1068
15,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,23.1262190025,6.0,-7.0,3620,0.967652750899,15.0,0.0,3617
16,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,20.2380952381,7.0,-9.0,340,1.17994100295,14.0,-2.0,339
17,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,26.6090297791,6.0,-7.0,1049,0.478011472275,17.0,-1.0,1046
18,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,31.5660284732,5.0,-5.0,2093,1.57894736842,20.0,0.0,2090
19,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,22.7628149435,4.0,-8.0,1162,1.11972437554,14.0,-4.0,1161
20,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,24.7990815155,6.0,-6.0,878,1.02622576967,11.0,-2.0,877
21,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,29.6816479401,5.0,-5.0,1095,1.73357664234,14.0,-1.0,1096
22,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,21.0526315789,4.0,-6.0,343,0.579710144928,13.0,-1.0,345
23,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,17.4812030075,6.0,-10.0,5925,0.884086444008,14.0,-1.0,6108
24,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,18.1427343078,4.0,-9.0,2338,0.642673521851,16.0,-2.0,2334
25,HI,HNL,P,L,9479094,Honolulu International Airport,Honolulu,United States,21.3187007904,-157.92199707,13.0,-10,21.216407355,6.0,-5.0,1424,0.923482849604,17.0,0.0,1516
26,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,23.5855487389,5.0,-6.0,1481,0.944669365722,13.0,-3.0,1482
27,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,18.4430512017,3.0,-8.0,1929,0.673924313116,11.0,-3.0,1929
28,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,21.0084033613,4.0,-5.0,120,0.833333333333,12.0,0.0,120
29,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,21.5121512151,6.0,-8.0,1120,0.35746201966,12.0,-2.0,1119
30,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,23.3532934132,7.0,-8.0,509,0.587084148728,14.0,0.0,511
31,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,24.3366880146,4.0,-7.0,1102,0.905797101449,11.0,-3.0,1104
32,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,26.4483627204,6.0,-9.0,402,0.992555831266,13.0,-5.0,403
33,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,22.7321237994,4.0,-9.0,946,1.16402116402,13.0,-2.0,945
34,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,15.5465037339,5.0,-10.0,1491,0.93896713615,11.0,-2.0,1491
35,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,13.3704735376,4.0,-10.0,359,0.0,11.0,-6.0,359
36,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,19.8863636364,5.0,-7.0,705,0.142247510669,11.0,-4.0,703
37,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,24.4505494505,5.0,-7.0,366,0.546448087432,12.0,-5.0,366
38,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,24.842370744,3.0,-6.0,802,0.996264009963,11.0,-4.0,803
39,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,20.4488778055,6.0,-9.0,1620,0.858369098712,11.0,-3.0,1631
40,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,18.2186234818,5.0,-8.0,500,1.60965794769,11.0,-3.0,497
41,IN,IND,P,M,3889567,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,-5,25.0645994832,6.0,-6.0,389,1.02564102564,12.0,-2.0,390
42,OH,CMH,P,M,3312496,Port Columbus International Airport,Columbus,United States,39.9980010986,-82.8918991089,815.0,-5,27.3631840796,6.0,-3.0,206,3.86473429952,14.0,-3.0,207
43,HI,OGG,P,M,3220753,Kahului Airport,Kahului,United States,20.8985996246,-156.429992676,54.0,-10,19.2468619247,6.0,-6.0,726,1.37741046832,10.0,-3.0,726
44,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,22.0588235294,4.0,-9.0,410,0.731707317073,11.0,-4.0,410
45,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,22.6277372263,5.0,-8.0,412,0.0,12.0,-4.0,412
46,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,27.5862068966,5.0,-2.0,88,1.13636363636,11.0,-3.0,88
47,AK,ANC,P,M,2525893,Ted Stevens Anchorage International Airport,Anchorage,United States,61.1744003296,-149.996002197,152.0,-9,23.7424547284,4.0,-6.0,499,0.200400801603,11.0,1.0,499
48,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,24.5098039216,4.0,-6.0,204,0.490196078431,11.0,-2.0,204
49,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,25.6983240223,5.0,-5.0,182,1.09289617486,11.0,-3.0,183
50,NE,OMA,P,M,2046179,Eppley Airfield,Omaha,United States,41.3031997681,-95.8940963745,984.0,-6,20.5188679245,4.0,-8.0,431,1.15740740741,11.0,-5.0,432
51,TN,MEM,P,S,1873716,Memphis International Airport,Memphis,United States,35.0424003601,-89.9766998291,341.0,-6,21.3414634146,5.0,-9.0,164,0.0,13.0,-3.0,164
52,OK,OKC,P,S,1803188,Will Rogers World Airport,Oklahoma City,United States,35.3931007385,-97.6007003784,1295.0,-6,19.018404908,5.0,-12.0,164,0.609756097561,12.0,-4.0,164
53,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,27.7777777778,4.0,-8.0,91,0.0,12.0,-3.0,91
54,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,30.7692307692,6.5,-3.0,80,1.25,12.0,0.0,80
55,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,20.0,5.0,-9.0,111,1.78571428571,12.0,-1.0,112
56,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,20.9375,5.0,-6.0,324,1.85185185185,11.0,-6.0,324
57,AZ,TUS,P,S,1549253,Tucson International Airport,Tucson,United States,32.1161003113,-110.941001892,2643.0,-7,0.0,5.0,-24.5,8,0.0,12.5,-2.0,8
58,WA,GEG,P,S,1515351,Spokane International Airport,Spokane,United States,47.6198997498,-117.533996582,2376.0,-8,17.2222222222,4.0,-8.0,180,0.0,11.0,-6.0,180
59,VA,ORF,P,S,1515200,Norfolk International Airport,Norfolk,United States,36.8945999146,-76.2012023926,26.0,-5,35.3448275862,4.0,-3.0,120,2.5,13.0,1.0,120
60,HI,LIH,P,S,1491688,Lihue Airport,Lihue,United States,21.9759998322,-159.339004517,153.0,-10,17.1428571429,6.0,-6.0,280,2.5,10.0,-5.0,280
61,ID,BOI,P,S,1487777,Boise Air Terminal/Gowen field,Boise,United States,43.56439972,-116.2229996,2871.0,-7,21.0191082803,3.0,-5.0,157,1.27388535032,11.0,-5.0,157
62,HI,KOA,P,S,1485777,Kona International At Keahole Airport,Kona,United States,19.7388000488,-156.046005249,47.0,-10,13.28125,4.0,-8.5,384,0.260416666667,11.0,-2.0,384
63,OK,TUL,P,S,1359582,Tulsa International Airport,Tulsa,United States,36.1983985901,-95.8880996704,677.0,-6,13.2075471698,3.0,-12.0,107,0.0,11.0,-5.0,107
64,MI,GRR,P,S,1280803,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663,794.0,-5,33.3333333333,5.0,4.0,3,0.0,11.0,36.0,3
65,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,27.5261324042,5.0,-2.0,289,1.38408304498,11.0,1.0,289
66,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,31.843575419,6.0,-4.0,181,0.552486187845,14.0,-2.0,181
67,IA,DSM,P,S,1156462,Des Moines International Airport,Des Moines,United States,41.5340003967,-93.6631011963,958.0,-6,17.7370030581,4.0,-11.0,330,0.906344410876,13.0,-3.0,331
68,GA,SAV,P,S,980531,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,50.0,-5,8.88888888889,5.0,-13.0,47,0.0,14.0,11.0,47
69,SC,MYR,P,S,899859,Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502,25.0,-5,13.6363636364,4.0,-12.0,45,4.44444444444,11.0,-1.0,45
70,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,29.2682926829,3.0,-4.0,41,2.43902439024,13.0,0.0,41
71,WI,MSN,P,S,826640,Dane County Regional Truax Field,Madison,United States,43.1399002075,-89.3375015259,887.0,-6,28.0172413793,4.0,-11.5,234,0.42735042735,11.0,-4.0,234
72,KS,ICT,P,S,773550,Wichita Mid Continent Airport,Wichita,United States,37.6498985291,-97.4330978394,1333.0,-6,20.0913242009,5.0,-11.0,224,0.892857142857,12.0,-6.0,224
73,HI,ITO,P,S,627171,Hilo International Airport,Hilo,United States,19.7213993073,-155.04800415,38.0,-10,10.843373494,6.0,-8.0,84,1.19047619048,12.0,-4.0,84
74,FL,SRQ,P,S,607449,Sarasota Bradenton International Airport,Sarasota,United States,27.3953990936,-82.554397583,30.0,-5,0.0,3.5,-7.5,2,0.0,12.0,-8.5,2
75,PA,MDT,P,S,587049,Harrisburg International Airport,Harrisburg,United States,40.1935005188,-76.7633972168,310.0,-5,32.6732673267,4.0,0.0,101,0.0,12.0,6.0,101
76,VT,BTV,P,S,581143,Burlington International Airport,Burlington,United States,44.4719009399,-73.1532974243,335.0,-5,23.7179487179,4.0,-8.0,158,1.89873417722,11.0,-4.0,158
