,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,24.284515708,8.0,-2.0,10918,1.11742077304,14.0,3.0,10918
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,35.6649313772,10.0,6.0,10855,2.47766417979,11.0,7.0,10857
2,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,21.0141940044,7.0,-4.0,17438,1.74351915577,12.0,1.0,17436
3,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,30.3173029251,5.0,1.0,4224,4.40236686391,13.0,0.0,4225
4,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,31.855500821,7.0,3.0,617,1.2987012987,14.0,0.0,616
5,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,19.6824907522,6.0,-3.0,19770,1.35046279905,12.0,2.0,19771
6,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,22.2837552743,6.0,-1.0,15512,1.36677196828,10.0,1.0,15511
7,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,28.9317154414,8.0,3.0,4246,1.03651354535,17.0,4.0,4245
8,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,21.0219127586,8.0,-4.0,9908,0.838392599017,10.0,0.0,10377
9,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,32.2515212982,8.0,-1.0,1528,2.6832460733,17.0,0.0,1528
10,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,29.4273127753,5.0,1.0,2311,1.64359861592,11.0,0.0,2312
11,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,27.2237196765,8.0,0.0,3386,0.856467808624,18.0,0.0,3386
12,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,25.0694830461,6.0,-1.0,1823,1.26096491228,12.0,1.0,1824
13,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,26.7042783263,6.0,-1.0,2155,0.835266821346,14.0,-1.0,2155
