,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,16.5797317437,8.0,-5.0,2713,1.14180478821,16.0,-4.0,2715
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,22.1999154691,10.0,-6.0,9598,1.09375,18.0,-2.0,9600
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,17.5142066152,11.0,-9.0,14065,2.17821782178,14.0,-1.0,14140
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,13.5348656948,10.0,-8.0,33880,0.802123439505,15.0,-2.0,34284
4,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,21.6749940519,8.0,-7.0,4376,3.515625,22.0,-2.0,4608
5,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,19.4202898551,8.0,-3.0,2446,1.4303228443,14.0,-3.0,2447
6,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,29.4181620446,5.0,-1.0,3748,1.67955211943,16.0,-3.0,3751
7,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,14.3857782507,8.0,-6.0,23274,2.72350503256,18.0,-2.0,23646
8,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,19.0055248619,7.0,-5.0,3662,1.09289617486,16.0,-3.0,3660
9,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,15.0456557831,6.0,-6.0,14637,0.745146294777,16.0,-3.0,14628
10,FL,MIA,P,L,20986349,Miami International Airport,Miami,United States,25.7931995392,-80.2906036377,8.0,-5,23.0681261232,8.0,-3.0,12473,1.3094975355,18.0,-1.0,13593
