,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,12.6373626374,7.0,-9.0,183,1.08695652174,14.0,-2.0,184
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,20.856873823,11.0,-2.0,2144,0.746268656716,18.0,-4.0,2144
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,12.0603015075,12.0,-10.0,402,1.24378109453,18.0,-3.0,402
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,10.5263157895,9.0,-6.0,289,1.38408304498,15.0,-5.0,289
4,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,2.24719101124,6.0,-19.0,91,2.1978021978,27.0,-3.0,91
5,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,14.9855907781,7.0,-4.0,351,1.1396011396,14.0,-5.0,351
6,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,21.3063763608,7.0,-5.0,1309,2.06106870229,16.0,-4.0,1310
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,15.335753176,8.0,-3.0,1109,0.900900900901,15.0,-6.0,1110
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,10.7936507937,6.0,-6.0,634,0.788643533123,12.0,-7.0,634
9,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,8.03571428571,6.0,-11.0,113,0.877192982456,17.0,-5.0,114
10,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,14.6580803435,8.0,-7.0,13202,0.613357564743,16.0,-3.0,13206
11,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,10.989010989,6.0,-8.0,182,0.0,15.0,-4.0,181
12,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,19.2468619247,7.0,-3.0,244,2.45901639344,20.0,-4.0,244
13,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,16.5714285714,5.0,-8.0,177,1.12359550562,21.0,-3.5,178
14,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,9.30930930931,6.0,-16.0,340,0.882352941176,21.0,-4.0,340
15,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,8.88888888889,8.0,-12.0,91,1.0989010989,16.0,-3.5,91
16,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,17.2413793103,5.0,-13.0,91,3.2967032967,16.0,-4.0,91
17,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,16.1616161616,4.0,-11.0,99,0.0,15.0,-3.0,99
18,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,7.69230769231,5.0,-13.0,173,3.46820809249,16.0,-2.0,173
19,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,12.3209169054,4.0,-8.0,364,3.57142857143,16.0,-6.0,364
20,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,12.6785714286,5.0,-8.0,563,0.710479573712,16.0,-6.0,563
21,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,10.2272727273,6.0,-11.0,91,3.2967032967,14.5,-4.0,91
22,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,16.6165413534,3.0,-5.0,1347,0.743494423792,15.0,-5.0,1345
23,HI,HNL,P,L,9479094,Honolulu International Airport,Honolulu,United States,21.3187007904,-157.92199707,13.0,-10,28.8624787776,4.0,-2.0,604,0.331125827815,19.0,-3.0,604
24,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,14.2857142857,4.0,-13.0,91,0.0,15.0,-5.0,91
25,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,12.9466900996,4.0,-7.0,3468,1.18291979227,12.0,-4.0,3466
26,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,14.7826086957,5.0,-3.0,117,1.69491525424,13.0,-4.5,118
27,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,15.6862745098,4.0,-4.0,102,0.0,11.0,-6.0,102
28,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,21.1111111111,5.0,-10.0,91,1.0989010989,14.0,-3.0,91
29,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,19.6754563895,5.0,-5.0,497,0.804828973843,12.0,-7.0,497
30,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,7.0,4.0,-15.0,100,0.0,14.0,-6.0,100
31,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,16.2162162162,5.0,-8.0,113,1.75438596491,13.0,-5.5,114
32,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,2.22222222222,4.0,-18.0,91,1.0989010989,13.0,-4.0,91
33,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,14.0208574739,5.0,-3.0,874,1.25714285714,11.0,-8.0,875
34,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,12.6066350711,4.0,-6.0,1062,0.659754948162,12.0,-6.0,1061
35,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,13.5245901639,5.0,-4.0,492,0.609756097561,12.0,-7.0,492
36,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,7.69230769231,4.0,-13.0,91,0.0,12.0,-8.0,91
