,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,30.0254452926,8.0,-1.0,1200,1.08423686405,14.0,0.0,1199
1,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,24.8677248677,12.0,-7.0,389,2.5,17.0,-3.0,480
2,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,25.8503401361,7.0,-4.0,148,0.675675675676,15.0,3.0,148
3,NY,JFK,P,L,27782369,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,13.0,-5,28.955532575,6.0,-1.0,9997,2.8261675315,21.0,0.0,10792
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,30.078125,7.0,-2.5,262,2.29007633588,13.0,3.0,262
5,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,35.818815331,8.0,1.0,1476,1.22199592668,15.0,-1.0,1473
6,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,18.8498402556,6.0,-6.0,333,6.30630630631,17.5,-3.0,333
7,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,33.5169880624,8.0,0.0,1109,1.89189189189,15.0,6.0,1110
8,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,32.7777777778,3.5,-3.0,182,1.0989010989,13.0,2.0,182
9,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,27.4038461538,7.0,-3.0,427,1.17096018735,16.0,1.0,427
10,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,32.0270924045,9.0,1.0,4242,2.361739815,15.0,1.0,5081
11,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,35.2370689655,8.0,2.0,1908,2.50122609122,17.0,2.0,2039
12,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,23.653786064,5.0,-4.0,9865,2.32354656815,16.0,-1.0,10286
13,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,31.5476190476,8.0,-3.0,345,2.60115606936,14.0,-3.0,346
14,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,25.6704980843,6.0,-6.0,539,3.34572490706,15.0,-4.5,538
15,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,38.6761842959,6.0,5.0,1604,3.1875,19.0,3.0,1600
16,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,33.9150227618,6.0,2.0,5385,1.82335229174,15.0,3.0,5978
17,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,24.9581239531,5.0,-4.0,621,4.18006430868,13.0,-3.0,622
18,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,21.7280813215,3.0,-6.0,2492,5.11231603408,15.0,-4.0,2582
19,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,34.375,4.0,2.0,454,0.662251655629,14.0,4.0,453
20,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,19.8275862069,5.0,-4.5,488,5.11247443763,13.0,-4.0,489
21,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,23.1454005935,4.0,-9.0,355,0.56338028169,15.0,-1.0,355
22,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,29.0220820189,5.0,-2.0,1309,2.71554650373,12.0,-2.0,1473
23,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,26.1603375527,4.0,-2.0,248,1.20967741935,12.0,-3.0,248
24,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,22.3463687151,5.0,-9.0,182,1.64835164835,12.0,5.0,182
25,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,19.8874296435,4.0,-6.0,541,1.47601476015,12.0,-2.0,542
26,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,10.4651162791,6.0,-6.0,88,2.27272727273,12.5,-4.0,88
27,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,23.9436619718,5.0,-6.0,364,0.817438692098,11.0,-3.0,367
28,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,24.0,4.0,-5.0,356,1.40449438202,10.0,-3.0,356
29,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,21.746031746,5.0,-5.0,660,4.69696969697,13.0,-1.0,660
30,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,35.4838709677,4.0,3.0,102,2.94117647059,11.0,10.0,102
31,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,27.0042194093,5.0,-3.0,247,1.61943319838,12.0,-3.0,247
32,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,29.8620689655,4.0,-0.5,1487,2.15633423181,11.0,5.0,1484
33,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,14.2857142857,7.0,-10.0,281,1.06382978723,11.0,-3.0,282
34,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,24.0837696335,5.0,-4.0,389,1.54639175258,11.0,-4.0,388
35,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,35.4108956602,4.0,3.0,2225,2.74034141959,12.0,6.0,2226
36,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,31.686746988,6.0,1.0,849,1.91339375629,13.0,2.0,993
37,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,23.6623067776,4.0,-4.0,862,2.55220417633,12.0,-3.0,862
38,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,26.557711951,3.0,-4.0,1014,3.15270935961,11.0,-5.0,1015
39,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,25.0,6.0,-4.5,67,4.4776119403,9.0,2.0,67
40,CA,BUR,P,S,1973897,Bob Hope Airport,Burbank,United States,34.2006988525,-118.35900116,778.0,-8,20.0,2.0,-5.0,91,3.33333333333,14.0,6.0,90
41,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,37.8277153558,4.0,1.0,273,2.1978021978,12.0,-4.0,273
42,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,19.2771084337,4.0,-7.0,523,4.39770554493,10.0,-4.0,523
43,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,25.9615384615,7.0,-4.0,534,2.43902439024,11.0,-3.0,533
44,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,30.5263157895,5.0,1.0,99,3.0303030303,11.0,3.5,99
45,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,14.2857142857,3.0,-8.0,182,0.0,11.0,-1.0,182
46,CA,LGB,P,S,1220937,Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004,60.0,-8,24.0749876665,3.0,-3.0,2062,1.11434108527,11.0,-3.0,2064
47,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,23.2142857143,5.0,-2.0,297,5.36912751678,10.0,-6.0,298
48,NY,SYR,P,S,987732,Syracuse Hancock International Airport,Syracuse,United States,43.1111984253,-76.106300354,421.0,-5,28.1622911695,3.0,-1.0,432,3.69515011547,13.0,-4.0,433
49,GA,SAV,P,S,980531,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,50.0,-5,24.6323529412,4.0,1.0,278,2.15827338129,12.0,2.0,278
50,CA,PSP,P,S,947728,Palm Springs International Airport,Palm Springs,United States,33.82970047,-116.507003784,477.0,-8,38.9830508475,5.0,5.0,62,3.22580645161,12.0,8.5,62
51,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,28.0991735537,3.0,-0.5,255,5.078125,13.0,-5.0,256
52,NY,HPN,P,S,757466,Westchester County Airport,White Plains,United States,41.0670013428,-73.7076034546,439.0,-5,27.7372262774,4.0,-3.0,1002,2.7,11.0,-2.0,1000
53,FL,SRQ,P,S,607449,Sarasota Bradenton International Airport,Sarasota,United States,27.3953990936,-82.554397583,30.0,-5,28.3898305085,4.0,0.0,242,3.30578512397,11.0,5.0,242
54,VT,BTV,P,S,581143,Burlington International Airport,Burlington,United States,44.4719009399,-73.1532974243,335.0,-5,27.3648648649,4.0,-2.0,309,3.88349514563,12.0,-4.0,309
55,FL,DAB,P,N,306360,Daytona Beach International Airport,Daytona Beach,United States,29.179899,-81.058098,34.0,-5,17.0731707317,4.0,-8.0,85,3.52941176471,12.0,-2.0,85
56,NY,SWF,P,N,142603,Stewart International Airport,Newburgh,United States,41.5041007996,-74.1047973633,491.0,-5,26.404494382,5.0,0.0,182,3.20855614973,11.0,-3.5,187
