,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,32.6834862385,9.0,2.0,1789,2.4594745668,13.0,0.0,1789
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,35.3870458136,9.0,4.0,1946,2.67214799589,12.0,0.0,1946
2,IL,ORD,P,L,36305668,Chicago O'Hare International Airport,Chicago,United States,41.97859955,-87.90480042,672.0,-6,28.2147315855,11.0,-2.0,2509,3.98565165405,14.0,0.5,2509
3,TX,DFW,P,L,31589839,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.8968009949,-97.0380020142,607.0,-6,29.4986807388,8.0,1.0,1941,1.80226570546,14.0,-3.0,1942
4,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,26.286966046,9.0,-1.0,941,2.8692879915,12.0,-1.0,941
5,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,32.03125,6.0,1.0,2761,2.46287576965,12.0,-1.0,2761
6,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,32.6815642458,7.0,3.0,364,3.02197802198,11.0,0.0,364
7,TX,IAH,P,L,20595881,George Bush Intercontinental Houston Airport,Houston,United States,29.9843997955,-95.3414001465,97.0,-6,31.3069908815,8.0,0.0,1348,1.78041543027,13.0,-1.0,1348
8,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,24.3902439024,9.0,1.0,124,1.61290322581,16.0,1.5,124
9,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,26.9574944072,9.0,0.0,1830,2.11304807184,14.0,-2.0,1893
10,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,39.1061452514,8.0,6.0,186,3.76344086022,15.0,-2.0,186
11,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,30.8666017527,6.0,2.0,1049,2.57387988561,15.0,1.0,1049
12,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,28.8315629742,8.0,-3.0,687,3.93013100437,17.0,2.0,687
13,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,24.347826087,10.0,-3.0,2242,2.67737617135,12.0,-1.0,2241
14,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,28.7671232877,6.0,-1.0,461,4.33839479393,15.0,-4.0,461
15,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,27.6344086022,8.0,-3.0,998,7.01402805611,17.0,-3.0,998
16,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,30.1601692354,7.0,1.0,3419,2.3022751896,13.0,0.0,3692
17,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,23.730378578,7.0,-4.0,1143,4.81611208406,10.0,-1.0,1142
18,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,33.2631578947,5.0,3.0,481,1.6632016632,14.0,-2.0,481
19,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,31.6487158244,6.0,0.0,1245,2.89156626506,11.0,-1.0,1245
20,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,32.0224719101,6.0,0.0,182,2.74725274725,11.0,2.0,182
21,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,34.8088531187,7.0,3.0,515,3.1067961165,11.0,-2.0,515
22,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,30.6595365419,5.0,-2.0,574,2.78745644599,10.0,-4.0,574
23,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,26.4214046823,7.0,-1.0,304,2.30263157895,10.0,-3.0,304
24,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,31.1111111111,5.0,2.0,1160,3.97236614853,10.0,-2.0,1158
25,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,32.8947368421,9.0,1.0,697,1.86513629842,11.0,3.0,697
26,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,37.2881355932,5.0,4.0,182,6.04395604396,12.0,6.0,182
27,SC,MYR,P,S,899859,Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502,25.0,-5,28.1188118812,5.0,1.0,529,4.34782608696,9.0,-3.0,529
28,OH,CAK,P,S,759335,Akron Canton Regional Airport,Akron,United States,40.9160995483,-81.442199707,1228.0,-5,14.2857142857,6.0,-9.0,93,2.15053763441,11.0,-4.0,93
29,NJ,ACY,P,S,587967,Atlantic City International Airport,Atlantic City,United States,39.4575996399,-74.5772018433,75.0,-5,27.7652370203,5.0,0.0,923,3.79198266522,10.0,-3.0,923
30,PA,LBE,P,N,181105,Arnold Palmer Regional Airport,Latrobe,United States,40.27590179,-79.40480042,1199.0,-5,23.7226277372,5.0,-4.0,287,3.83275261324,12.0,-7.0,287
31,NY,PBG,P,N,131600,Plattsburgh International Airport,Plattsburgh,United States,44.6509017944,-73.4681015015,234.0,-5,23.3333333333,6.0,-3.0,122,1.6393442623,12.0,-2.0,122
32,NY,IAG,P,N,121616,Niagara Falls International Airport,Niagara Falls,United States,43.1072998047,-78.9461975098,589.0,-5,22.7642276423,6.0,-5.0,130,6.15384615385,10.0,-2.0,130
