,ST,IATA,S/L,Hub,CY15enplane,Name,City,Country,Latitude,Longitude,Altitude,Timezone,PercentArrDel15,TaxiIn,ArrDelay,ArrNum,PercentCancelled,TaxiOut,DepDelay,DepNum
0,GA,ATL,P,L,49340732,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6366996765,-84.4281005859,1026.0,-5,16.2883975739,8.0,-5.0,10409,1.42184647901,14.0,0.0,10409
1,CA,LAX,P,L,36351272,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,125.0,-8,26.8815011218,9.0,1.0,10012,2.12744706352,11.0,2.0,10012
2,CO,DEN,P,L,26280043,Denver International Airport,Denver,United States,39.8616981506,-104.672996521,5431.0,-7,14.4175621333,7.0,-7.0,15419,1.58195020747,12.0,0.0,15424
3,CA,SFO,P,L,24190560,San Francisco International Airport,San Francisco,United States,37.6189994812,-122.375,13.0,-8,28.927613941,6.0,-1.0,3870,3.66925064599,12.0,-1.0,3870
4,NC,CLT,P,L,21913166,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019,-80.9430999756,748.0,-5,20.9829867675,7.0,-3.0,556,3.77697841727,14.0,-1.0,556
5,NV,LAS,P,L,21857693,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,2181.0,-8,16.7280140438,6.0,-5.0,17907,1.28419877164,12.0,0.0,17910
6,AZ,PHX,P,L,21351504,Phoenix Sky Harbor International Airport,Phoenix,United States,33.434299469,-112.012001038,1135.0,-7,16.2365741387,6.0,-5.0,14515,0.92936802974,11.0,0.0,14526
7,WA,SEA,P,L,20148980,Seattle Tacoma International Airport,Seattle,United States,47.4490013123,-122.308998108,433.0,-8,22.5966654842,7.0,-3.0,2841,0.668778599085,15.0,0.0,2841
8,FL,MCO,P,L,18759938,Orlando International Airport,Orlando,United States,28.4293994904,-81.3089981079,96.0,-5,13.9997904223,7.0,-7.0,9692,1.15514837682,13.0,-1.0,10042
9,NJ,EWR,P,L,18684818,Newark Liberty International Airport,Newark,United States,40.6925010681,-74.1687011719,18.0,-5,21.8299711816,8.0,-5.0,1459,5.26675786594,16.0,-1.0,1462
10,MN,MSP,P,L,17634273,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.8819999695,-93.2218017578,841.0,-6,18.9161021365,5.0,-4.0,1958,2.04394481349,12.0,-1.0,1957
11,MA,BOS,P,L,16290362,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,20.0,-5,17.9382210644,7.0,-5.0,2757,2.53991291727,17.0,-1.0,2756
12,MI,DTW,P,L,16255520,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.2123985291,-83.3534011841,645.0,-5,16.6265060241,9.0,-4.0,1707,2.75498241501,11.0,0.0,1706
13,PA,PHL,P,L,15101349,Philadelphia International Airport,Philadelphia,United States,39.8718986511,-75.2410964966,36.0,-5,15.9690627843,6.0,-6.0,2282,3.76862401402,12.0,0.0,2282
14,NY,LGA,P,L,14319924,La Guardia Airport,New York,United States,40.77719879,-73.87259674,21.0,-5,22.153369481,7.0,-5.0,2703,4.44115470022,19.0,-1.0,2702
15,FL,FLL,P,L,13061632,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599411,-80.1527023315,9.0,-5,18.6806883365,6.0,-5.0,5315,1.41895579407,13.0,0.0,5497
16,MD,BWI,P,L,11738845,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.17539978,-76.66829681,146.0,-5,12.8735632184,5.0,-7.0,16426,4.38628158845,12.0,0.0,16620
17,VA,DCA,P,L,11242375,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,15.0,-5,14.6651909242,5.0,-7.0,3803,5.04997369805,13.0,-2.0,3802
18,IL,MDW,P,L,10830850,Chicago Midway International Airport,Chicago,United States,41.7859992981,-87.7524032593,620.0,-6,14.4649608241,6.0,-7.0,19075,3.88385135489,11.0,0.0,19079
19,UT,SLC,P,L,10634538,Salt Lake City International Airport,Salt Lake City,United States,40.7883987427,-111.977996826,4227.0,-7,21.0236886633,4.0,-2.0,2388,0.670016750419,12.0,0.0,2388
20,VA,IAD,P,L,10363974,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,312.0,-5,11.743772242,6.0,-9.0,585,3.76712328767,12.0,-2.0,584
21,CA,SAN,P,L,9985763,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,17.0,-8,18.0849746067,4.0,-4.0,8222,1.50814886889,11.0,-1.0,8222
22,FL,TPA,P,L,9150458,Tampa International Airport,Tampa,United States,27.9755001068,-82.533203125,26.0,-5,14.5278810409,5.0,-7.0,6810,1.19613777201,10.0,-1.0,6939
23,OR,PDX,P,L,8340252,Portland International Airport,Portland,United States,45.58869934,-122.5979996,31.0,-8,19.3011103854,4.0,-5.0,3134,2.01085221832,9.0,0.0,3133
24,TX,DAL,P,M,7040950,Dallas Love Field,Dallas,United States,32.8470993042,-96.8517990112,487.0,-6,13.1784472009,5.0,-5.0,15381,0.721669592354,10.0,0.0,15381
25,MO,STL,P,M,6239248,Lambert St Louis International Airport,St. Louis,United States,38.7486991882,-90.3700027466,618.0,-6,14.3464262717,5.0,-6.0,7897,1.58308004053,9.0,0.0,7896
26,TX,HOU,P,M,5937990,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,46.0,-6,13.9193548387,5.0,-6.0,12573,1.00151021381,10.0,0.0,12581
27,TX,AUS,P,M,5797562,Austin Bergstrom International Airport,Austin,United States,30.1944999695,-97.6698989868,542.0,-6,13.7993553586,5.0,-6.0,4997,0.740592473979,10.0,-1.0,4996
28,TN,BNA,P,M,5715205,Nashville International Airport,Nashville,United States,36.1245002747,-86.6781997681,599.0,-6,13.7820064363,6.0,-6.0,7331,2.4020745189,10.0,-2.0,7327
29,CA,OAK,P,M,5506687,Metropolitan Oakland International Airport,Oakland,United States,37.7212982178,-122.221000671,9.0,-8,20.3519855596,6.0,-2.0,8994,1.39012455516,10.0,1.0,8992
30,LA,MSY,P,M,5329711,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.9934005737,-90.2580032349,4.0,-6,13.946083634,5.0,-5.0,4763,0.923593618808,8.0,-2.0,4764
31,MO,MCI,P,M,5135127,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,1026.0,-6,15.6635113413,5.0,-6.0,5693,1.58172231986,10.0,-2.0,5690
32,NC,RDU,P,M,4954735,Raleigh Durham International Airport,Raleigh-durham,United States,35.8776016235,-78.7874984741,435.0,-5,16.8694922367,4.0,-3.0,2478,3.75302663438,9.0,-1.0,2478
33,CA,SNA,P,M,4945209,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,56.0,-8,15.7675525585,4.0,-4.0,5088,1.12028301887,9.0,0.0,5088
34,CA,SJC,P,M,4822480,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.3625984192,-121.929000854,62.0,-8,19.3331029717,4.0,-2.0,5870,1.39717157949,9.0,0.0,5869
35,CA,SMF,P,M,4714729,Sacramento International Airport,Sacramento,United States,38.695400238,-121.591003418,27.0,-8,19.9637681159,4.0,-2.0,5580,0.96808892076,9.0,0.0,5578
36,FL,RSW,P,M,4159215,Southwest Florida International Airport,Fort Myers,United States,26.5361995697,-81.7552032471,30.0,-5,14.537037037,5.0,-8.0,2202,1.7719218537,10.0,-2.0,2201
37,TX,SAT,P,M,4091434,San Antonio International Airport,San Antonio,United States,29.533700943,-98.4698028564,809.0,-6,15.465631929,4.0,-6.0,3639,0.65970313359,8.0,-1.0,3638
38,OH,CLE,P,M,3916922,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,791.0,-5,15.7068062827,6.0,-6.0,1183,2.11505922166,10.0,-2.0,1182
39,PA,PIT,P,M,3890681,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,1203.0,-5,15.0636802811,6.0,-6.0,2322,1.89491817399,10.0,-2.0,2322
40,IN,IND,P,M,3889567,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,797.0,-5,15.5592105263,6.0,-7.0,3109,1.89771630749,11.0,-2.0,3109
41,OH,CMH,P,M,3312496,Port Columbus International Airport,Columbus,United States,39.9980010986,-82.8918991089,815.0,-5,15.381907779,5.0,-6.0,2893,1.79744210162,10.0,-2.0,2893
42,WI,MKE,P,M,3229897,General Mitchell International Airport,Milwaukee,United States,42.9472007751,-87.8965988159,723.0,-6,14.8239654107,6.0,-7.0,3289,1.24657950745,10.0,-1.0,3289
43,FL,PBI,P,M,3113591,Palm Beach International Airport,West Palm Beach,United States,26.6832008362,-80.0955963135,19.0,-5,22.5201072386,5.0,-2.0,771,2.59403372244,11.0,-1.0,771
44,CT,BDL,P,M,2926054,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.6831970215,173.0,-5,17.9856115108,5.0,-5.0,1568,2.35818992989,10.0,-1.0,1569
45,FL,JAX,P,M,2716473,Jacksonville International Airport,Jacksonville,United States,30.4941005707,-81.6878967285,30.0,-5,19.0523198421,5.0,-3.0,1033,1.64728682171,10.0,-2.0,1032
46,NY,BUF,P,M,2336431,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,728.0,-5,15.7676348548,4.0,-6.0,1504,3.59760159893,11.0,-1.0,1501
47,NM,ABQ,P,M,2323883,Albuquerque International Sunport Airport,Albuquerque,United States,35.0401992798,-106.60900116,5355.0,-7,16.7518248175,5.0,-4.0,2775,0.97332372026,9.0,-1.0,2774
48,CA,ONT,P,M,2089801,Ontario International Airport,Ontario,United States,34.0559997559,-117.600997925,944.0,-8,19.0440346255,5.0,-3.0,2687,0.706845238095,8.0,-1.0,2688
49,NE,OMA,P,M,2046179,Eppley Airfield,Omaha,United States,41.3031997681,-95.8940963745,984.0,-6,14.9425287356,4.0,-6.0,1427,2.17696629213,9.0,-2.0,1424
50,CA,BUR,P,S,1973897,Bob Hope Airport,Burbank,United States,34.2006988525,-118.35900116,778.0,-8,17.9002624672,3.0,-4.0,3910,2.22506393862,10.0,-2.0,3910
51,TN,MEM,P,S,1873716,Memphis International Airport,Memphis,United States,35.0424003601,-89.9766998291,341.0,-6,16.1917098446,5.0,-5.0,800,3.0,10.0,-3.0,800
52,OK,OKC,P,S,1803188,Will Rogers World Airport,Oklahoma City,United States,35.3931007385,-97.6007003784,1295.0,-6,16.3760896638,4.0,-4.0,1627,1.10633066994,9.0,-2.0,1627
53,RI,PVD,P,S,1763676,Theodore Francis Green State Airport,Providence,United States,41.7326011658,-71.4204025269,55.0,-5,16.6880616175,5.0,-6.0,1607,2.67412935323,10.0,-1.0,1608
54,VA,RIC,P,S,1740391,Richmond International Airport,Richmond,United States,37.5051994324,-77.3197021484,167.0,-5,14.332247557,5.0,-5.0,320,4.70219435737,12.0,-3.0,319
55,SC,CHS,P,S,1669988,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,46.0,-5,16.4855072464,7.0,-6.0,570,1.75438596491,9.0,-2.0,570
56,NV,RNO,P,S,1669876,Reno Tahoe International Airport,Reno,United States,39.4990997314,-119.767997742,4415.0,-8,19.3315858453,5.0,-4.0,1575,2.34920634921,9.0,0.0,1575
57,KY,SDF,P,S,1640297,Louisville International Standiford Field,Louisville,United States,38.1744,-85.736,501.0,-5,18.5758513932,5.0,-6.0,1000,2.2022022022,10.0,-2.0,999
58,AZ,TUS,P,S,1549253,Tucson International Airport,Tucson,United States,32.1161003113,-110.941001892,2643.0,-7,19.6363636364,4.0,-4.0,1109,1.08108108108,9.0,-2.0,1110
59,WA,GEG,P,S,1515351,Spokane International Airport,Spokane,United States,47.6198997498,-117.533996582,2376.0,-8,17.9921773142,4.0,-6.0,775,1.16279069767,10.0,-2.0,774
60,VA,ORF,P,S,1515200,Norfolk International Airport,Norfolk,United States,36.8945999146,-76.2012023926,26.0,-5,16.5275459098,4.0,-4.0,626,3.82775119617,9.0,-2.0,627
61,ID,BOI,P,S,1487777,Boise Air Terminal/Gowen field,Boise,United States,43.56439972,-116.2229996,2871.0,-7,17.3099415205,3.0,-6.0,862,0.464576074332,9.0,-2.0,861
62,TX,ELP,P,S,1381392,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984,3959.0,-7,18.7198067633,4.0,-3.0,1663,0.481347773767,11.0,-1.0,1662
63,OK,TUL,P,S,1359582,Tulsa International Airport,Tulsa,United States,36.1983985901,-95.8880996704,677.0,-6,13.5608048994,4.0,-6.0,1149,0.781928757602,9.0,-3.0,1151
64,AL,BHM,P,S,1325897,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,650.0,-6,14.8798521257,3.0,-5.0,1091,0.6416131989,9.0,-2.0,1091
65,MI,GRR,P,S,1280803,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663,794.0,-5,14.6126760563,6.0,-6.0,590,3.05602716469,12.0,-2.0,589
66,NY,ALB,P,S,1276793,Albany International Airport,Albany,United States,42.748298645,-73.8016967773,285.0,-5,13.8278388278,4.0,-7.0,1112,1.88848920863,9.0,-2.0,1112
67,CA,LGB,P,S,1220937,Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004,60.0,-8,21.327014218,5.0,-6.0,212,0.471698113208,10.0,-1.0,212
68,NY,ROC,P,S,1177994,Greater Rochester International Airport,Rochester,United States,43.1189002991,-77.6724014282,559.0,-5,17.0163170163,6.0,-4.0,445,3.6036036036,10.0,-2.0,444
69,IA,DSM,P,S,1156462,Des Moines International Airport,Des Moines,United States,41.5340003967,-93.6631011963,958.0,-6,15.6862745098,4.0,-9.0,260,1.14942528736,9.0,-2.0,261
70,OH,DAY,P,S,1041759,James M Cox Dayton International Airport,Dayton,United States,39.9024009705,-84.2193984985,1009.0,-5,18.9102564103,4.0,-5.0,328,4.28134556575,10.0,-2.0,327
71,NH,MHT,P,S,1026349,Manchester Airport,Manchester NH,United States,42.932598114,-71.4356994629,266.0,-5,16.487804878,4.0,-5.0,1050,2.47855100095,10.0,-2.0,1049
72,AR,LIT,P,S,958510,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,34.7294006348,-92.2242965698,262.0,-6,13.0856219709,4.0,-4.0,625,0.958466453674,8.0,-2.0,626
73,SC,GSP,P,S,955097,Greenville Spartanburg International Airport,Greenville,United States,34.8956985474,-82.2189025879,964.0,-5,15.988372093,4.0,-8.0,362,4.70914127424,9.0,-3.0,361
74,ME,PWM,P,S,858449,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,76.0,-5,11.9815668203,4.0,-7.0,226,4.88888888889,9.0,-2.0,225
75,FL,PNS,P,S,787916,Pensacola Regional Airport,Pensacola,United States,30.473400116,-87.1865997314,121.0,-6,16.862745098,4.0,-4.0,263,2.27272727273,8.0,-3.0,264
76,KS,ICT,P,S,773550,Wichita Mid Continent Airport,Wichita,United States,37.6498985291,-97.4330978394,1333.0,-6,13.4020618557,4.0,-5.0,392,1.02040816327,9.5,-4.0,392
77,OH,CAK,P,S,759335,Akron Canton Regional Airport,Akron,United States,40.9160995483,-81.442199707,1228.0,-5,13.0693069307,4.0,-7.0,511,0.390625,10.0,-3.0,512
78,NY,ISP,P,S,603653,Long Island Mac Arthur Airport,Islip,United States,40.79520035,-73.10019684,99.0,-5,15.3284671533,5.0,-5.0,1142,3.76862401402,9.0,-2.0,1141
79,TX,MAF,P,S,518509,Midland International Airport,Midland,United States,31.9424991608,-102.202003479,2871.0,-6,13.2352941176,3.0,-6.0,755,0.794701986755,8.0,-4.0,755
80,TX,LBB,P,S,443239,Lubbock Preston Smith International Airport,Lubbock,United States,33.6636009216,-101.822998047,3282.0,-6,13.92,4.0,-5.0,627,0.318979266348,9.0,-3.0,627
81,FL,ECP,P,S,428704,Northwest Florida Beaches International Airport,Panama City,United States,30.357106,-85.795414,69.0,-6,13.9318885449,3.0,-5.0,330,1.81818181818,8.0,-4.0,330
82,MI,FNT,P,S,411763,Bishop International Airport,Flint,United States,42.9654006958,-83.743598938,782.0,-5,15.9029649596,5.0,-8.0,391,4.85933503836,9.0,-2.0,391
83,TX,AMA,P,N,341132,Rick Husband Amarillo International Airport,Amarillo,United States,35.2193984985,-101.706001282,3607.0,-6,14.5539906103,4.0,-4.0,427,0.233644859813,8.0,-2.0,428
84,TX,CRP,P,N,338312,Corpus Christi International Airport,Corpus Christi,United States,27.7703990936,-97.5011978149,44.0,-6,11.9760479042,4.0,-6.0,337,1.18694362018,9.0,-3.0,337
85,TX,HRL,P,N,259864,Valley International Airport,Harlingen,United States,26.2285003662,-97.6544036865,36.0,-6,11.5768463074,3.0,-7.0,506,0.395256916996,7.0,-4.0,506
